date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2006-12-06,6.4,6.91,6.29,6.91,6.28,326216804,2169129332.0,10.03184,9.98249,10.01927,0.421052,0.207044,7.064011,0.6299999999999999,1.2000000000000002,2.1400000000000006,2.0700000000000003,2.0600000000000005,-0.33333333333333337,-0.33333333333333337,0.43131868131868134,5.836,5.528571428571429,5.319,4.8015,4.556,5.448476199601742,5.448476199601742,5.448476199601742,5.448476199601742,5.448476199601742,95.98662207357862,0.5289647480708908,0.32465139997419157,116.10486891385756,0.01892800988551886,0.07667164741395227,0.07667164741395227,-0.01733691965327704,0.0007922637738142384,0.6200000000000001,0.6299999999999999,0.009999999999999787,0.6299999999999999,0.2723809523809525,2049474773.0,4.739762674281555,7.500499895876738,5.099500104123262,1.79028
2006-12-07,7.02,7.6,6.55,6.66,6.91,285422958,2096003227.0,-3.617945,10.03184,9.98249,6.708599,-1.859507,-0.618551,-0.25,0.3799999999999999,1.5700000000000003,1.9100000000000001,1.8399999999999999,-0.16666666666666669,-0.3,0.4340659340659341,6.15,5.801428571428572,5.503,4.9205,4.651666666666667,5.650396833001452,5.650396833001452,5.650396833001452,5.650396833001452,5.650396833001452,88.4735202492212,0.5913815773095248,0.37799743544125824,93.80122187453435,0.015793580258141048,-0.05264373348542191,0.07938502925456571,-0.06929816839055915,0.006772865208731529,1.0499999999999998,0.6899999999999995,0.3600000000000003,1.0499999999999998,0.3152380952380954,1764051815.0,4.861421459394344,7.251121813492196,5.9822115198411385,-3.015078
2006-12-08,6.37,6.6,5.99,5.99,6.66,299605981,1847547768.0,-10.06006,-3.617945,10.03184,1.964635,0.421052,0.207464,-0.6699999999999999,-0.9199999999999999,0.7999999999999998,1.2200000000000006,1.1600000000000001,0.0,-0.26666666666666666,0.4368131868131868,6.3100000000000005,5.975714285714285,5.619,5.0104999999999995,4.732,5.706997360834543,5.706997360834543,5.706997360834543,5.706997360834543,5.706997360834543,72.04301075268819,0.5800969668576341,0.41841734172453343,-17.094017094017204,-0.04452001496822575,-0.06150805745671394,0.03547017944830779,-0.06150805745671394,0.008768977084113509,0.6099999999999994,0.0600000000000005,0.6699999999999999,0.6699999999999999,0.34095238095238106,1464445834.0,4.931796603226053,7.471419991381339,5.568580008618662,4.533678
2006-12-11,5.75,6.59,5.64,6.59,5.99,226431871,1371185408.0,10.0167,-10.06006,-3.617945,10.01927,6.708599,0.207044,0.5999999999999996,-0.07000000000000028,0.8799999999999999,1.5,1.75,-0.6666666666666666,-0.16666666666666669,0.44505494505494503,6.486,6.1899999999999995,5.794,5.143,4.831,5.85416446736212,5.85416446736212,5.85416446736212,5.85416446736212,5.85416446736212,74.87922705314011,0.6125082040607657,0.45723551419177993,-39.7897897897898,-0.04089155731809897,0.13635349370515673,0.13635349370515673,-0.019315789299291633,0.004510910952866195,0.9500000000000002,0.5999999999999996,0.35000000000000053,0.9500000000000002,0.3761904761904763,1690877705.0,5.006426494784635,7.149901954259718,5.67676471240695,4.213137
2006-12-12,6.59,7.14,6.41,6.74,6.59,269053340,1822636750.0,2.27617,10.0167,-10.06006,9.98249,1.964635,-1.859507,0.15000000000000036,0.75,0.45999999999999996,1.5499999999999998,1.9900000000000002,-0.5,-0.13333333333333336,0.44780219780219777,6.578,6.411428571428572,5.993,5.2725,4.9303333333333335,6.001803722801767,6.001803722801767,6.001803722801767,6.001803722801767,6.001803722801767,73.80352644836273,0.6428872850140941,0.49436586835624285,46.31441617742977,0.0,0.02250657640979979,0.08015942783707708,-0.02769407758183715,0.005499769734501017,0.7299999999999995,0.5499999999999998,0.17999999999999972,0.7299999999999995,0.3966666666666668,1959931045.0,5.09442850609609,7.233725393319418,5.646274606680583,-2.021404
2006-12-13,6.7,6.76,6.25,6.5,6.74,133852776,873016191.0,-3.560828,2.27617,10.0167,10.03184,10.01927,0.421052,-0.2400000000000002,-0.08999999999999986,-0.41000000000000014,0.79,1.7300000000000004,-0.33333333333333337,-0.09999999999999998,0.4505494505494505,6.496,6.524285714285715,6.166,5.3875,5.009,6.084836435668139,6.084836435668139,6.084836435668139,6.084836435668139,6.084836435668139,70.09569377990431,0.6402169092936063,0.5235360765437156,-8.087201125175627,-0.005952398527295273,-0.030305349495328922,0.008915363657952329,-0.06952606264861022,0.00431508074503904,0.5099999999999998,0.019999999999999574,0.4900000000000002,0.5099999999999998,0.40666666666666673,1826078269.0,5.129051177581131,6.8524871130597855,6.367512886940213,1.577671
2006-12-14,6.5,6.64,6.38,6.55,6.5,86146851,560488052.0,0.769234,-3.560828,2.27617,-3.617945,9.98249,6.708599,0.04999999999999982,-0.1900000000000004,-0.11000000000000032,0.2699999999999996,1.46,-0.16666666666666669,-0.06666666666666665,0.45329670329670335,6.473999999999999,6.562857142857143,6.311999999999999,5.507,5.081,6.162363696390116,6.162363696390116,6.162363696390116,6.162363696390116,6.162363696390116,70.37914691943128,0.6348174193781979,0.545792345110612,27.52293577981685,0.0,0.007662872745569097,0.021309786586751027,-0.018634079544892983,0.0018517688901541697,0.2599999999999998,0.13999999999999968,0.1200000000000001,0.2599999999999998,0.4133333333333334,1912225120.0,5.151226354818134,6.849912265509771,6.343421067823562,-2.867381
2006-12-15,6.57,6.86,6.55,6.7,6.55,119321607,801519730.0,2.290071,0.769234,-3.560828,-10.06006,10.03184,1.964635,0.15000000000000036,0.20000000000000018,0.71,-0.20999999999999996,1.5099999999999998,0.0,-0.033333333333333326,0.4560439560439561,6.616,6.532857142857142,6.462999999999999,5.632499999999999,5.16,6.251969746991763,6.251969746991763,6.251969746991763,6.251969746991763,6.251969746991763,71.3302752293578,0.635318475206545,0.5636975711297987,69.44444444444471,0.0030487828493587312,0.019593693900401284,0.043193609241274765,-0.0030487828493587043,0.0008716194833050271,0.3100000000000005,0.3100000000000005,0.0,0.3100000000000005,0.4214285714285715,2031546727.0,5.18399577533554,6.791499933280112,6.375166733386554,-6.396063
2006-12-18,6.71,6.99,6.65,6.94,6.7,170776628,1167442341.0,3.582093,2.290071,0.769234,10.0167,-3.617945,10.01927,0.2400000000000002,0.39000000000000057,0.35000000000000053,0.28000000000000025,1.2300000000000004,-0.6666666666666666,0.06666666666666665,0.4642857142857143,6.686,6.572857142857144,6.586,5.7620000000000005,5.243666666666667,6.3666414558264695,6.3666414558264695,6.3666414558264695,6.3666414558264695,6.3666414558264695,74.27937915742794,0.6476162428759737,0.5804813054790336,100.28248587570647,0.00149142458667012,0.03370282353512282,0.04088160526212855,-0.008982096315827592,0.0008225022856615651,0.33999999999999986,0.29000000000000004,0.04999999999999982,0.33999999999999986,0.431904761904762,2202323355.0,5.235608814380916,7.123446311458215,6.336553688541786,0.394215
2006-12-19,7.03,7.14,6.8,6.95,6.94,135062215,938030048.0,0.144089,3.582093,2.290071,2.27617,-10.06006,9.98249,0.009999999999999787,0.25,0.20999999999999996,0.96,0.6699999999999999,-0.5,0.09999999999999998,0.46703296703296704,6.728,6.71,6.6530000000000005,5.883,5.329666666666667,6.463867879855392,6.463867879855392,6.463867879855392,6.463867879855392,6.463867879855392,74.22222222222223,0.6506687247494458,0.5945187893331161,104.75400773908248,0.012884931303860299,-0.01144504624587282,0.015526070528919382,-0.0332640936405126,0.0009841154637965086,0.33999999999999986,0.1999999999999993,0.14000000000000057,0.33999999999999986,0.4385714285714287,2337385570.0,5.274555399229873,7.14641164994097,6.580255016725697,-2.356019
