date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2014-01-30,6.29,6.29,6.16,6.2,6.31,17136556,106500130.0,-1.7433,-1.0972,3.5714,-1.7188,1.9544,6.7769,-0.10999999999999943,-0.17999999999999972,-0.08999999999999986,-0.05999999999999961,-0.2599999999999998,-0.16666666666666669,0.4666666666666667,-0.42032967032967034,6.284,6.301428571428572,6.266,6.3635,6.713333333333334,6.316516009230446,6.316516009230446,6.316516009230446,6.316516009230446,6.316516009230446,45.454545454545446,-0.35286281378529427,-0.43312103903587157,-79.91803278688518,-0.0031746058407725423,-0.014411778661303316,0.0,-0.020884293166920677,0.00022365263530549703,0.1299999999999999,0.019999999999999574,0.14999999999999947,0.14999999999999947,0.26,-285340425.0,7.105366023040451,6.4781421011841624,6.115191232149171,-2.4233
2014-02-07,6.15,6.2,6.06,6.2,6.2,17430811,107062460.0,0.0,-1.7433,-1.0972,1.2719,2.2364,-4.7988,0.0,-0.10999999999999943,-0.16999999999999993,-0.20000000000000018,0.04999999999999982,0.0,-0.3,-0.3983516483516484,6.25,6.272857142857142,6.271,6.337000000000001,6.624,6.297096674358705,6.297096674358705,6.297096674358705,6.297096674358705,6.297096674358705,52.35602094240837,-0.33725304412478163,-0.41394744005365364,-91.39784946236512,-0.008097210232619362,0.008097210232619303,0.008097210232619303,-0.014742281737203544,0.000249418208337314,0.14000000000000057,0.0,0.14000000000000057,0.14000000000000057,0.2590476190476191,-285340425.0,7.096942087915468,6.363683725888299,6.109649607445036,2.4834
2014-02-10,6.23,6.37,6.18,6.35,6.2,34701538,218850995.0,2.4194,0.0,-1.7433,-3.2967,-1.7188,-0.1626,0.14999999999999947,0.14999999999999947,0.1899999999999995,0.05999999999999961,0.20999999999999996,-0.6666666666666666,-0.2,-0.3901098901098901,6.288,6.281428571428571,6.292,6.316000000000001,6.569333333333333,6.30591389529892,6.30591389529892,6.30591389529892,6.30591389529892,6.30591389529892,55.17241379310344,-0.309214016110138,-0.39300075526495054,25.15723270440302,0.004827040748315944,0.019078480105238365,0.022223136784710256,-0.008058061329762535,0.0003763790904762751,0.1900000000000004,0.16999999999999993,0.020000000000000462,0.1900000000000004,0.2547619047619048,-250638887.0,7.083357769633151,6.4232050807568255,6.0767949192431745,0.6462
2014-02-11,6.34,6.44,6.25,6.37,6.35,47089328,298304544.0,0.315,2.4194,0.0,3.5714,1.2719,1.9544,0.020000000000000462,0.16999999999999993,-0.009999999999999787,0.0,0.11000000000000032,-0.5,-0.16666666666666669,-0.3873626373626374,6.286,6.281428571428571,6.303,6.3005,6.534999999999999,6.3165949127491,6.3165949127491,6.3165949127491,6.3165949127491,6.3165949127491,58.163265306122454,-0.28212686862162695,-0.37082597793628586,85.67603748326727,-0.0015760444554656545,0.004720701134937394,0.015649771667127815,-0.014297304700824449,0.00036566939417864957,0.1900000000000004,0.09000000000000075,0.09999999999999964,0.1900000000000004,0.24952380952380956,-203549559.0,7.066176932705203,6.492498131530166,6.120835201803169,1.2841
2014-02-12,6.37,6.57,6.31,6.49,6.37,55137211,355374688.0,1.8838,0.315,2.4194,-1.0972,-3.2967,2.2364,0.1200000000000001,0.14000000000000057,0.1800000000000006,0.33000000000000007,0.08999999999999986,-0.33333333333333337,-0.13333333333333336,-0.3846153846153846,6.322,6.328571428571428,6.311999999999999,6.288,6.500333333333333,6.3454957606242495,6.3454957606242495,6.3454957606242495,6.3454957606242495,6.3454957606242495,50.89820359281438,-0.24811697393835797,-0.3462841771367003,120.62062062061979,0.0,0.01866306113192677,0.03091436291244715,-0.009463793030950251,0.0005101796067241138,0.2600000000000007,0.20000000000000018,0.0600000000000005,0.2600000000000007,0.25285714285714295,-148412348.0,7.050374017419464,6.554770889221286,6.25189577744538,-1.1094
2014-02-13,6.42,6.48,6.28,6.29,6.49,39224578,250329068.0,-3.0817,1.8838,0.315,-1.7433,3.5714,-1.7188,-0.20000000000000018,-0.08000000000000007,0.08999999999999986,-0.08999999999999986,0.0,-0.16666666666666669,-0.09999999999999998,-0.38186813186813184,6.34,6.315714285714286,6.311999999999999,6.276000000000001,6.465333333333333,6.336246467186875,6.336246467186875,6.336246467186875,6.336246467186875,6.336246467186875,54.487179487179475,-0.23459791714732603,-0.32394692513882545,23.72685185185153,-0.010844413014128853,-0.020457046989520593,0.00930239266231363,-0.0220481372217625,0.0005596877563397375,0.20000000000000018,0.009999999999999787,0.20999999999999996,0.20999999999999996,0.24904761904761916,-187636926.0,7.035821776045096,6.5846622516071776,6.182004415059488,-1.4423
2014-02-14,6.29,6.39,6.26,6.37,6.29,23735626,150594633.0,1.2719,-3.0817,1.8838,0.0,-1.0972,1.2719,0.08000000000000007,-0.1200000000000001,0.16999999999999993,0.0600000000000005,0.0,0.0,-0.06666666666666665,-0.3791208791208791,6.3740000000000006,6.324285714285714,6.312,6.2745,6.437333333333333,6.341872055989063,6.341872055989063,6.341872055989063,6.341872055989063,6.341872055989063,57.05521472392639,-0.21495081661706017,-0.3021477034344724,-34.482758620689076,0.0,0.012638398871722849,0.015773197677094314,-0.004780885600342008,0.00030660765233326626,0.1299999999999999,0.09999999999999964,0.03000000000000025,0.1299999999999999,0.24190476190476204,-163901300.0,7.028199189310187,6.5846622516071776,6.182004415059488,0.1626
2014-02-17,6.43,6.65,6.41,6.61,6.37,55163791,360441824.0,3.7677,1.2719,-3.0817,2.4194,-1.7433,-3.2967,0.2400000000000002,0.3200000000000003,0.2600000000000007,0.41000000000000014,0.4500000000000002,-0.6666666666666666,0.033333333333333326,-0.3708791208791209,6.426,6.382857142857143,6.357,6.2995,6.415000000000001,6.386560046657553,6.386560046657553,6.386560046657553,6.386560046657553,6.386560046657553,60.000000000000014,-0.17796290803503378,-0.2773107443545847,127.0396270396274,0.009375068665455882,0.02760911561406702,0.033642316418234806,-0.0031152673169493115,0.0002515318200954068,0.2400000000000002,0.28000000000000025,0.040000000000000036,0.28000000000000025,0.24333333333333348,-108737509.0,7.017360501419541,6.756399893247891,6.090266773418775,0.974
2014-02-18,6.6,6.96,6.49,6.78,6.61,88834149,600852608.0,2.5719,3.7677,1.2719,0.315,0.0,3.5714,0.16999999999999993,0.41000000000000014,0.41000000000000014,0.5800000000000001,0.40000000000000036,-0.5,0.06666666666666665,-0.36813186813186816,6.508000000000001,6.465714285714286,6.397,6.3315,6.410333333333333,6.452133372214627,6.452133372214627,6.452133372214627,6.452133372214627,6.452133372214627,60.674157303370784,-0.13339445649031223,-0.2485274867817302,131.74273858921143,-0.0015140048312151828,0.026907452919924402,0.05310982531394854,-0.016807118316381174,0.0011768190281437549,0.46999999999999975,0.34999999999999964,0.1200000000000001,0.46999999999999975,0.24714285714285728,-19903360.0,7.007850736052397,6.998653721479464,6.17467961185387,0.4823
2014-02-19,6.7,6.87,6.6,6.7,6.78,49107024,331159632.0,-1.1799,2.5719,3.7677,1.8838,2.4194,-1.0972,-0.08000000000000007,0.08999999999999986,0.20999999999999996,0.35000000000000053,0.39000000000000057,-0.33333333333333337,0.09999999999999998,-0.3653846153846154,6.55,6.515714285714286,6.436,6.364,6.408333333333333,6.493444476845523,6.493444476845523,6.493444476845523,6.493444476845523,6.493444476845523,61.714285714285715,-0.10333775563344627,-0.21948954055207343,76.16638560989313,-0.011869575555383882,0.0,0.025056579837337688,-0.015037877364540559,0.0014553840272471942,0.27000000000000046,0.08999999999999986,0.1800000000000006,0.27000000000000046,0.25238095238095254,-69010384.0,7.0011803397164325,6.866764677628951,6.526568655704382,0.0
