date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2003-09-04,4.03,4.08,4.02,4.03,4.03,10158688,41048582.0,0.0,-0.49,-0.98,-0.25,-0.75,2.03,0.0,-0.019999999999999574,0.0900000000000003,0.050000000000000266,0.0,-0.16666666666666669,-0.4,0.17582417582417587,4.036,4.01,4.008,3.972,3.9776666666666665,4.007947720655269,4.007947720655269,4.007947720655269,4.007947720655269,4.007947720655269,65.95744680851068,0.02598307683969736,0.020215076207460454,24.464831804280617,0.0,0.0,0.012330612457478725,-0.0024844733276620564,0.00018597632823533873,0.0600000000000005,0.04999999999999982,0.010000000000000675,0.0600000000000005,0.07857142857142854,85702858.0,3.9523215721906424,4.059760677434256,4.013572655899076,-1.49
2003-09-05,4.03,4.04,3.95,3.99,4.03,19278623,76715414.0,-0.99,0.0,-0.49,1.02,-0.75,-0.25,-0.040000000000000036,-0.040000000000000036,0.010000000000000231,0.040000000000000036,-0.02999999999999936,0.0,-0.3666666666666667,0.1785714285714286,4.037999999999999,4.015714285714286,4.005000000000001,3.9754999999999994,3.981333333333333,4.004956433879391,4.004956433879391,4.004956433879391,4.004956433879391,4.004956433879391,56.521739130434796,0.022830480880154713,0.020738157141999305,-147.43589743589862,0.0,-0.009975145056819509,0.0024783160144670005,-0.020050797045561078,0.00018413035738974916,0.08999999999999986,0.009999999999999787,0.08000000000000007,0.08999999999999986,0.07809523809523806,66424235.0,3.9527613538989828,4.062854688201841,3.9704786451314926,0.25
2003-09-08,3.98,4.01,3.95,4.01,3.99,7311437,29074712.0,0.5,-0.99,0.0,2.76,-0.25,-0.25,0.019999999999999574,-0.020000000000000462,-0.08000000000000007,0.06999999999999984,0.0,-0.6666666666666666,-0.26666666666666666,0.18681318681318682,4.022,4.025714285714286,4.005,3.9795000000000003,3.9843333333333333,4.005797028232826,4.005797028232826,4.005797028232826,4.005797028232826,4.005797028232826,55.55555555555555,0.021695763465924944,0.020929678406784433,-87.54208754208763,-0.002509411605425807,0.007509422022131348,0.007509422022131348,-0.007566240383315813,0.0001750102821223359,0.05999999999999961,0.019999999999999574,0.040000000000000036,0.05999999999999961,0.07571428571428566,73735672.0,3.953013610339905,4.050000000000006,3.9699999999999953,0.75
2003-09-09,4.0,4.0,3.9,3.92,4.01,56575667,222133033.0,-2.24,0.5,-0.99,-0.98,1.02,-0.75,-0.08999999999999986,-0.07000000000000028,-0.1299999999999999,-0.06000000000000005,-0.06000000000000005,-0.5,-0.23333333333333334,0.18956043956043955,3.996,4.017142857142857,3.999,3.9775,3.9843333333333333,3.991497523527355,3.991497523527355,3.991497523527355,3.991497523527355,3.991497523527355,47.16981132075469,0.013380007503597469,0.01941974422614704,-130.43478260869463,-0.0024968801985871545,-0.020202707317519466,0.0,-0.025317807984289897,0.00014232542495339106,0.10000000000000009,0.009999999999999787,0.10999999999999988,0.10999999999999988,0.07809523809523804,17160005.0,3.951924907151384,4.067849645858389,3.8788170208082766,2.49
2003-09-10,3.9,3.93,3.87,3.91,3.92,16031897,62390901.0,-0.26,-2.24,0.5,-0.49,2.76,-0.75,-0.009999999999999787,-0.09999999999999964,-0.1200000000000001,-0.17999999999999972,-0.040000000000000036,-0.33333333333333337,-0.2,0.1923076923076923,3.972,3.9914285714285715,3.9949999999999997,3.9775,3.978666666666667,3.977914602939463,3.977914602939463,3.977914602939463,3.977914602939463,3.977914602939463,36.9565217391304,0.005914614570109222,0.01671871829493948,-112.52653927813174,-0.005115100666770377,0.0025608208616736505,0.007662872745569097,-0.007722046093910278,0.00013801253078916484,0.06000000000000005,0.010000000000000231,0.04999999999999982,0.06000000000000005,0.07714285714285708,1128108.0,3.951536752987913,4.056818077612393,3.8365152557209408,0.24
2003-09-11,3.9,3.93,3.89,3.91,3.91,7031731,27487166.0,0.0,-0.26,-2.24,0.0,-0.98,-0.25,0.0,-0.009999999999999787,-0.1200000000000001,-0.13999999999999968,-0.029999999999999805,-0.16666666666666669,-0.16666666666666669,0.19505494505494503,3.9479999999999995,3.9714285714285715,3.992,3.9784999999999995,3.9739999999999998,3.966595502449553,3.966595502449553,3.966595502449553,3.966595502449553,3.966595502449553,37.7777777777778,-1.7430224539261019e-06,0.0133746260314608,-70.17543859649184,-0.002560820861673704,0.0025608208616736505,0.007662872745569097,-0.0025673955052458097,8.195511317476638e-05,0.040000000000000036,0.020000000000000018,0.020000000000000018,0.040000000000000036,0.07571428571428566,1128108.0,3.951368763535534,3.924880338717175,3.901786327949492,-1.21
2003-09-12,3.93,3.93,3.87,3.88,3.91,9754937,37877029.0,-0.77,0.0,-0.26,-0.99,-0.49,1.02,-0.03000000000000025,-0.03000000000000025,-0.11000000000000032,-0.15000000000000036,-0.10000000000000009,0.0,-0.13333333333333336,0.19780219780219777,3.9260000000000006,3.95,3.9819999999999993,3.9785000000000004,3.969333333333333,3.9521629187079608,3.9521629187079608,3.9521629187079608,3.9521629187079608,3.9521629187079608,36.170212765957416,-0.007030208452269093,0.009293659134714822,-75.22123893805396,0.005102051883895552,-0.012804272245987854,0.0,-0.015384918839479456,8.098786912688273e-05,0.06000000000000005,0.020000000000000018,0.040000000000000036,0.06000000000000005,0.07428571428571425,-8626829.0,3.9509705738483705,3.934641016151396,3.865358983848604,3.43
2003-09-15,3.87,3.91,3.87,3.88,3.88,5944988,23113852.0,0.0,-0.77,0.0,0.5,0.0,2.76,0.0,-0.03000000000000025,-0.1299999999999999,-0.15000000000000036,-0.20999999999999996,-0.6666666666666666,-0.033333333333333326,0.2060439560439561,3.9,3.9285714285714284,3.961,3.976,3.9643333333333333,3.940135765589967,3.940135765589967,3.940135765589967,3.940135765589967,3.940135765589967,38.6363636363636,-0.012456724575887534,0.0049435823925943504,-90.90909090909366,-0.0025806465934916254,0.0025806465934914914,0.010282866955584056,0.0,9.357786458063923e-05,0.040000000000000036,0.03000000000000025,0.009999999999999787,0.040000000000000036,0.07333333333333329,-8626829.0,3.950730075294641,3.9246410161513974,3.855358983848603,0.95
2003-09-16,3.87,3.88,3.78,3.84,3.88,27176255,103803734.0,-1.03,0.0,-0.77,-2.24,-0.99,-0.98,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,-0.15000000000000036,-0.20999999999999996,-0.5,0.0,0.20879120879120883,3.8840000000000003,3.907142857142857,3.9400000000000004,3.97,3.958666666666667,3.923446471324973,3.923446471324973,3.923446471324973,3.923446471324973,3.923446471324973,37.77777777777773,-0.019757194763043273,3.426961466825376e-06,-166.66666666666384,-0.0025806465934916254,-0.007782140442054963,0.0025806465934914914,-0.02353049741019416,0.00022379640384756182,0.10000000000000009,0.0,0.10000000000000009,0.10000000000000009,0.07333333333333329,-35803084.0,3.94904094793236,3.912854688201855,3.8204786451314785,-0.47
2003-09-17,3.84,3.85,3.75,3.78,3.84,20479569,77507693.0,-1.56,-1.03,0.0,-0.26,0.5,-0.49,-0.06000000000000005,-0.10000000000000009,-0.13000000000000034,-0.22999999999999998,-0.25000000000000044,-0.33333333333333337,0.033333333333333326,0.21153846153846156,3.8579999999999997,3.8742857142857146,3.915,3.9615,3.952,3.899538726104144,3.899538726104144,3.899538726104144,3.899538726104144,3.899538726104144,33.99999999999996,-0.030038107932318425,-0.006004880017290225,-116.66666666666704,0.0,-0.015748356968139168,0.0026007817000574403,-0.023716526617316044,0.0002979855951667787,0.10000000000000009,0.010000000000000231,0.08999999999999986,0.10000000000000009,0.07428571428571425,-56282653.0,3.947119821407384,3.933997792470287,3.73266887419638,2.12
