date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2003-02-25,6.7,6.93,6.7,6.87,6.69,16671129,114282762.0,2.69,-0.15,-2.47,1.03,0.29,0.89,0.17999999999999972,0.16999999999999993,0.0,-0.07000000000000028,0.04999999999999982,-0.5,0.30000000000000004,-0.3489010989010989,6.812,6.818571428571429,6.856,6.8205,6.557,6.808534711334184,6.808534711334184,6.808534711334184,6.808534711334184,6.808534711334184,46.61654135338346,0.2280596746128234,0.3016179463403871,0.5995203836929794,0.001493652256783372,0.025056579837337688,0.03375228680489135,0.0,0.00025521453368704456,0.22999999999999954,0.23999999999999932,0.009999999999999787,0.23999999999999932,0.2557142857142858,633781908.0,6.297794524988673,6.955653212073227,6.55101345459344,1.37
2003-02-26,6.89,6.98,6.83,6.87,6.87,13132247,90695869.0,0.0,2.69,-0.15,0.87,-2.02,2.2,0.0,0.17999999999999972,-0.05999999999999961,0.07000000000000028,-0.09999999999999964,-0.33333333333333337,0.33333333333333337,-0.34615384615384615,6.8,6.828571428571428,6.846000000000001,6.823,6.619000000000001,6.81877892611182,6.81877892611182,6.81877892611182,6.81877892611182,6.81877892611182,43.2,0.21665283549451608,0.2846249241712129,67.58530183727007,0.0029069787913090896,-0.002906978791309161,0.012977831748714034,-0.00874641144286841,0.00028541861995689724,0.15000000000000036,0.11000000000000032,0.040000000000000036,0.15000000000000036,0.24809523809523823,633781908.0,6.3020375026579565,7.017846096908244,6.6021539030917555,9.59
2003-02-27,6.9,6.98,6.84,6.87,6.87,12605305,87028640.0,0.0,0.0,2.69,-0.87,1.03,-0.72,0.0,0.0,0.0,0.0,-0.04999999999999982,-0.16666666666666669,0.3666666666666667,-0.3434065934065934,6.8,6.828571428571429,6.840999999999999,6.8375,6.686333333333334,6.827315771759851,6.827315771759851,6.827315771759851,6.827315771759851,6.827315771759851,48.21428571428571,0.20524687509704442,0.26874931435637917,78.51239669421427,0.004357305368955847,-0.004357305368955813,0.011527505171067414,-0.008733679968754666,0.0002216680198775994,0.14000000000000057,0.11000000000000032,0.03000000000000025,0.14000000000000057,0.2280952380952382,633781908.0,6.306051457951891,6.87,6.87,-0.62
2003-02-28,6.9,6.93,6.82,6.87,6.87,7605945,52180178.0,0.0,0.0,0.0,-2.47,0.87,0.29,0.0,0.0,0.16999999999999993,-0.05999999999999961,-0.07000000000000028,0.0,0.4,-0.34065934065934067,6.8340000000000005,6.82,6.8340000000000005,6.8565,6.737333333333334,6.834429809799877,6.834429809799877,6.834429809799877,6.834429809799877,6.834429809799877,55.67010309278352,0.1939715856107398,0.25379376860725134,37.22504230118567,0.004357305368955847,-0.004357305368955813,0.004338401598598141,-0.011661939747842975,0.00015863860176735273,0.10999999999999943,0.05999999999999961,0.04999999999999982,0.10999999999999943,0.2157142857142858,633781908.0,6.308446119419331,6.87,6.87,0.62
2003-03-03,6.86,6.95,6.85,6.94,6.87,12137912,83780647.0,1.02,0.0,0.0,-0.15,-0.87,-2.02,0.07000000000000028,0.07000000000000028,0.25,0.07000000000000028,0.14000000000000057,-0.6666666666666666,-0.43333333333333335,-0.33241758241758246,6.884,6.83,6.848000000000001,6.8785,6.773,6.852024841499897,6.852024841499897,6.852024841499897,6.852024841499897,6.852024841499897,56.122448979591844,0.18851121253046532,0.24073725739189417,91.08527131783178,-0.0014566644964640444,0.011594332780919227,0.013034217838906906,-0.0014587894636599842,0.00010093331740359266,0.10000000000000053,0.08000000000000007,0.020000000000000462,0.10000000000000053,0.2104761904761906,645919820.0,6.312696940808325,6.974162371019825,6.812504295646842,6.78
2003-03-04,6.95,7.13,6.92,7.02,6.94,31272894,219827112.0,1.15,1.02,0.0,2.69,-2.47,1.03,0.07999999999999918,0.14999999999999947,0.14999999999999947,0.3199999999999994,0.14999999999999947,-0.5,-0.4,-0.32967032967032966,6.914,6.875714285714286,6.8629999999999995,6.881,6.8,6.880020701249915,6.880020701249915,6.880020701249915,6.880020701249915,6.880020701249915,52.747252747252745,0.1884666329088196,0.23028313249527926,166.66666666666882,0.0014398850579875444,0.01002155846101897,0.025569574849503823,-0.004325889947122606,0.00023352285310290215,0.20999999999999996,0.1899999999999995,0.020000000000000462,0.20999999999999996,0.20666666666666678,677192714.0,6.324753553648528,7.093444403322603,6.793222263344062,0.35
2003-03-05,7.02,7.03,6.88,6.91,7.02,14751704,102226365.0,-1.57,1.15,1.02,0.0,-0.15,0.87,-0.10999999999999943,-0.03000000000000025,0.040000000000000036,0.21999999999999975,-0.019999999999999574,-0.33333333333333337,-0.3666666666666667,-0.3269230769230769,6.922,6.907142857142857,6.861,6.8785,6.820333333333333,6.885017251041596,6.885017251041596,6.885017251041596,6.885017251041596,6.885017251041596,49.48453608247423,0.177509009183499,0.21972830783292321,16.9851380042459,0.0,-0.015793580258141128,0.0014234877848539275,-0.020144566092467463,0.000290633167809048,0.15000000000000036,0.010000000000000675,0.13999999999999968,0.15000000000000036,0.18285714285714302,662441010.0,6.329421809100756,7.070391480728171,6.842941852605163,-1.15
2003-03-06,6.93,6.95,6.78,6.81,6.91,13965720,95479461.0,-1.45,-1.57,1.15,0.0,2.69,-0.87,-0.10000000000000053,-0.20999999999999996,-0.0600000000000005,-0.0600000000000005,-0.0600000000000005,-0.16666666666666669,-0.33333333333333337,-0.32417582417582413,6.909999999999999,6.898571428571429,6.8549999999999995,6.867,6.8293333333333335,6.872514375867997,6.872514375867997,6.872514375867997,6.872514375867997,6.872514375867997,43.80952380952377,0.15892387368151173,0.20756742100264092,-97.1479500891277,0.0028901754222332024,-0.017467693040390832,0.00288184637488895,-0.021882711249507594,0.0001275185147459339,0.16999999999999993,0.040000000000000036,0.1299999999999999,0.16999999999999993,0.17952380952380967,648475290.0,6.333023726466758,7.1234126834211615,6.703253983245505,-1.05
2003-03-07,6.8,6.85,6.76,6.77,6.81,7661784,52109096.0,-0.59,-1.45,-1.57,0.0,0.0,-2.47,-0.040000000000000036,-0.14000000000000057,-0.10000000000000053,-0.10000000000000053,0.0699999999999994,0.0,-0.3,-0.3214285714285714,6.890000000000001,6.884285714285714,6.862,6.860000000000001,6.827666666666667,6.855428646556664,6.855428646556664,6.855428646556664,6.855428646556664,6.855428646556664,48.42105263157893,0.13936088861663354,0.19392611452543945,-109.99999999999984,-0.0014695079793599947,-0.004421525257877374,0.007326040092072881,-0.005899722127188271,0.00013139655908936163,0.08999999999999986,0.040000000000000036,0.04999999999999982,0.08999999999999986,0.17380952380952394,640813506.0,6.334813145403676,6.974222051018531,6.6857779489814675,-3.41
2003-03-10,6.78,6.83,6.67,6.68,6.77,12145886,81707263.0,-1.33,-0.59,-1.45,1.02,0.0,-0.15,-0.08999999999999986,-0.1299999999999999,-0.2600000000000007,-0.1900000000000004,-0.010000000000000675,-0.6666666666666666,-0.2,-0.3131868131868132,6.837999999999999,6.857142857142857,6.861,6.855999999999999,6.823333333333333,6.826190538797221,6.826190538797221,6.826190538797221,6.826190538797221,6.826190538797221,40.206185567010266,0.11526611811148246,0.17819411524264808,-100.38424591738683,0.0014760150281206794,-0.014859114403749941,0.007347571630394542,-0.016357242024771915,0.00013876879741773435,0.16000000000000014,0.0600000000000005,0.09999999999999964,0.16000000000000014,0.17238095238095252,628667620.0,6.337039516480651,6.886499895702894,6.620166770963772,-4.14
