date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2002-02-28,18.0,18.05,17.66,17.8,17.99,91190,1621500.0,-1.056145,0.953985,0.67796,0.517837,-0.056659,5.179523,-0.18999999999999773,-0.019999999999999574,0.33000000000000185,0.16000000000000014,-0.07000000000000028,-0.16666666666666669,0.4,-0.34065934065934067,17.79,17.685714285714287,17.662,17.258,17.397,17.62223419374932,17.62223419374932,17.62223419374932,17.62223419374932,17.62223419374932,55.456570155902035,-0.054440804598982595,-0.2168479738318837,24.19354838710108,0.0005557099337229548,-0.011173300598125189,0.0027739268827252244,-0.01906956272035069,0.00015711237383754138,0.39000000000000057,0.060000000000002274,0.3299999999999983,0.39000000000000057,0.7409523809523809,-294101.0,16.9746041457799,18.078806130177995,17.661193869822007,-1.137802
2002-03-01,17.52,17.96,17.5,17.53,17.8,52200,917266.0,-1.516846,-1.056145,0.953985,0.973097,-1.473924,-1.902631,-0.2699999999999996,-0.4599999999999973,-0.10999999999999943,0.15000000000000213,0.0,0.0,-0.5,-0.33791208791208793,17.768,17.70714285714286,17.662,17.307499999999997,17.325666666666667,17.606861828124437,17.606861828124437,17.606861828124437,17.606861828124437,17.606861828124437,69.94382022471916,-0.05638169880031185,-0.18475471882556935,-150.5376344085987,-0.01585537178979419,0.0005706134248978815,0.02480397736580819,-0.0011422045787769408,0.0005051826372477848,0.46000000000000085,0.16000000000000014,0.3000000000000007,0.46000000000000085,0.7214285714285715,-346301.0,16.978179595160015,18.235646358602192,17.311020308064474,0.554139
2002-03-04,17.5,17.6,17.38,17.6,17.53,40080,700171.0,0.399314,-1.516846,-1.056145,0.340144,0.517837,0.684535,0.07000000000000028,-0.1999999999999993,-0.09999999999999787,0.13000000000000256,-0.04999999999999716,-0.6666666666666666,-0.4,-0.32967032967032966,17.748,17.725714285714286,17.657,17.39,17.265666666666668,17.605718190103698,17.605718190103698,17.605718190103698,17.605718190103698,17.605718190103698,66.03174603174608,-0.051675770339240756,-0.15813892912830363,-118.1262729124238,-0.0017128180036748277,0.005698021114637796,0.005698021114637796,-0.0068807610922224285,0.0004188199556252445,0.22000000000000242,0.07000000000000028,0.15000000000000213,0.22000000000000242,0.6504761904761907,-306221.0,16.981238097213307,17.92357132742631,17.36309533924036,-2.924971
2002-03-05,17.5,18.07,17.39,18.0,17.6,300248,5386897.0,2.272725,0.399314,-1.516846,0.67796,0.973097,-0.056659,0.3999999999999986,0.46999999999999886,0.17999999999999972,0.35999999999999943,0.35999999999999943,-0.5,-0.3666666666666667,-0.3269230769230769,17.784000000000002,17.777142857142856,17.693,17.485000000000003,17.221,17.671431825086415,17.671431825086415,17.671431825086415,17.671431825086415,17.671431825086415,66.03174603174608,-0.01549105977470333,-0.12960935525758358,30.303030303031445,-0.005698021114637779,0.028170876966696224,0.032052223674668874,-0.006305552563276649,0.00022511963753867086,0.6799999999999997,0.46999999999999886,0.21000000000000085,0.6799999999999997,0.6400000000000002,-5973.0,17.017441921488864,18.217148893324158,17.202851106675844,0.524021
2002-03-06,18.1,18.23,17.86,17.94,18.0,162860,2942236.0,-0.33333,2.272725,0.399314,0.953985,0.340144,-1.473924,-0.05999999999999872,0.33999999999999986,-0.04999999999999716,0.240000000000002,0.5600000000000023,-0.33333333333333337,-0.33333333333333337,-0.32417582417582413,17.774,17.81142857142857,17.749,17.5125,17.185,17.716193187572014,17.716193187572014,17.716193187572014,17.716193187572014,17.716193187572014,51.5021459227468,0.008248996192094182,-0.10203768496764803,112.79143037177045,0.005540180375615351,-0.008879081641130047,0.007156650418791622,-0.013348362823427197,0.0003548066041434561,0.370000000000001,0.23000000000000043,0.14000000000000057,0.370000000000001,0.6214285714285717,-168833.0,17.034888810313845,18.278098391662922,17.415234941670413,1.216328
2002-03-07,18.0,18.95,18.0,18.87,17.94,338682,6287423.0,5.183948,-0.33333,2.272725,-1.056145,0.67796,0.517837,0.9299999999999997,0.870000000000001,1.0700000000000003,1.0500000000000007,1.4000000000000021,-0.16666666666666669,-0.3,-0.3214285714285714,17.988,17.961428571428574,17.889,17.5715,17.216666666666665,17.90849432297668,17.90849432297668,17.90849432297668,17.90849432297668,17.90849432297668,72.94520547945213,0.10094278367386522,-0.061441591239345394,148.24485059472,0.0033389012655146303,0.04720160148429416,0.05143217363227069,0.0,0.00030626424034704516,0.9499999999999993,1.009999999999998,0.05999999999999872,1.009999999999998,0.604761904761905,169849.0,17.104329130507697,19.3109610943738,17.2290389056262,-2.103003
2002-03-08,18.87,19.15,18.5,18.79,18.87,263350,4915782.0,-0.423953,5.183948,-0.33333,-1.516846,0.953985,0.973097,-0.08000000000000185,0.8499999999999979,1.259999999999998,0.8000000000000007,1.1499999999999986,0.0,-0.26666666666666666,-0.31868131868131866,18.240000000000002,18.075714285714287,18.004,17.6455,17.271333333333335,18.0554119358139,18.0554119358139,18.0554119358139,18.0554119358139,18.0554119358139,69.79166666666671,0.16603400994962314,-0.015946471001551686,98.8581730769227,0.0,-0.004248545955085021,0.01472935624619596,-0.019802627296179754,0.0004802914033738617,0.6499999999999986,0.2799999999999976,0.370000000000001,0.6499999999999986,0.5847619047619049,-93501.0,17.152509413912263,19.56412590865255,17.50254075801412,0.701446
2002-03-11,18.76,18.76,18.32,18.6,18.79,253669,4690448.0,-1.011179,-0.423953,5.183948,0.399314,-1.056145,0.340144,-0.18999999999999773,-0.2699999999999996,1.0,0.8000000000000007,0.9000000000000021,-0.6666666666666666,-0.16666666666666669,-0.31043956043956045,18.439999999999998,18.19,18.094,17.770000000000003,17.376666666666665,18.146176613178252,18.146176613178252,18.146176613178252,18.146176613178252,18.146176613178252,65.68627450980395,0.19998258882721842,0.02723934096420234,36.91275167785183,-0.0015978698472952568,-0.008565362858923046,0.0,-0.023733584332094444,0.00043866101280652295,0.4400000000000013,0.029999999999997584,0.46999999999999886,0.46999999999999886,0.580952380952381,-347170.0,17.191293291333885,19.03070192083599,18.475964745830677,0.174144
2002-03-12,18.08,19.4,18.08,19.33,18.6,840278,16043756.0,3.924729,-1.011179,-0.423953,2.272725,-1.516846,0.67796,0.7299999999999969,0.5399999999999991,1.3299999999999983,1.7999999999999972,1.509999999999998,-0.5,-0.13333333333333336,-0.3076923076923077,18.706,18.447142857142858,18.244999999999997,17.907,17.491666666666667,18.343480510981877,18.343480510981877,18.343480510981877,18.343480510981877,18.343480510981877,77.62039660056664,0.2825350926335659,0.07829849129807506,97.48427672955884,-0.02835522575512535,0.06685193825620905,0.07046671110525196,0.0,0.0008640507704936186,1.3200000000000003,0.7999999999999972,0.5200000000000031,1.3200000000000003,0.5861904761904764,493108.0,17.365639411065747,19.66411853532448,18.149214798008853,0.173833
2002-03-13,19.2,20.28,19.0,19.69,19.33,1513563,30122298.0,1.862393,3.924729,-1.011179,-0.33333,0.399314,0.953985,0.360000000000003,1.0899999999999999,1.75,2.09,1.7000000000000028,-0.33333333333333337,-0.09999999999999998,-0.30494505494505497,19.056,18.745714285714286,18.415,18.041999999999998,17.588666666666665,18.56790042581823,18.56790042581823,18.56790042581823,18.56790042581823,18.56790042581823,79.21052631578955,0.37271115581365777,0.1371810242011916,161.86736474694624,-0.0067480141865035835,0.02520061361729841,0.054724899689246674,-0.010471299867295366,0.0013354758154436367,1.2800000000000011,0.9500000000000028,0.3299999999999983,1.2800000000000011,0.6042857142857145,2006671.0,17.66324424361619,20.31740215873182,18.095931174601514,0.08677
