date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2002-02-28,6.4,6.53,6.28,6.34,6.38,613800,3937399.0,-0.626959,1.26984,1.449278,1.663892,1.120003,6.794431,-0.040000000000000036,0.040000000000000036,0.22999999999999954,0.019999999999999574,0.20999999999999996,-0.16666666666666669,0.4,-0.34065934065934067,6.247999999999999,6.194285714285714,6.194999999999999,5.8995,6.338666666666667,6.1834904424426975,6.1834904424426975,6.1834904424426975,6.1834904424426975,6.1834904424426975,58.90909090909091,-0.14291663036190894,-0.2606931850644506,84.41558441558459,0.003129893008927787,-0.00941922191649164,0.020108952922713478,-0.01892800988551891,0.0004844980278655307,0.25,0.15000000000000036,0.09999999999999964,0.25,0.3819047619047621,2006436.0,6.10362437862647,6.419999999999873,6.260000000000127,-1.1396
2002-03-01,6.3,6.3,6.11,6.12,6.34,421797,2612790.0,-3.470036,-0.626959,1.26984,-1.63666,-4.905062,-1.794456,-0.21999999999999975,-0.2599999999999998,0.11000000000000032,0.11000000000000032,0.10000000000000053,0.0,-0.5,-0.33791208791208793,6.2700000000000005,6.21,6.205,5.925,6.285333333333333,6.172908702035581,6.172908702035581,6.172908702035581,6.172908702035581,6.172908702035581,67.49999999999999,-0.1370513674337026,-0.235964821538301,-73.39449541284426,-0.006329135051647512,-0.028987536873252298,0.0,-0.030622860213982937,0.0004393861447507816,0.1899999999999995,0.040000000000000036,0.22999999999999954,0.22999999999999954,0.3609523809523811,1584639.0,6.103998458229574,6.559999999999963,6.000000000000037,1.152737
2002-03-04,6.0,6.27,6.0,6.25,6.12,359878,2205169.0,2.124185,-3.470036,-0.626959,3.327784,1.663892,3.820599,0.1299999999999999,-0.08999999999999986,0.040000000000000036,0.13999999999999968,0.0,-0.6666666666666666,-0.4,-0.32967032967032966,6.2780000000000005,6.2299999999999995,6.205,5.9745,6.242,6.185757251696318,6.185757251696318,6.185757251696318,6.185757251696318,6.185757251696318,67.08860759493669,-0.1205238666502515,-0.21287663056069112,-74.01812688821754,-0.019802627296179754,0.0408219945202552,0.04401688541677426,0.0,0.0003695435020770933,0.2699999999999996,0.14999999999999947,0.1200000000000001,0.2699999999999996,0.3447619047619049,1944517.0,6.106789667539916,6.45787546697378,6.015457866359554,0.0
2002-03-05,6.2,6.47,6.2,6.4,6.25,858303,5503426.0,2.400002,2.124185,-3.470036,1.449278,-1.63666,1.120003,0.15000000000000036,0.28000000000000025,0.10000000000000053,0.39000000000000057,0.08000000000000007,-0.5,-0.3666666666666667,-0.3269230769230769,6.298,6.285714285714286,6.213,6.034000000000001,6.204,6.221464376413598,6.221464376413598,6.221464376413598,6.221464376413598,6.221464376413598,64.86486486486486,-0.09423566670139039,-0.18914843778883098,43.884220354808654,-0.008032171697264267,0.03174869831458027,0.042626816461763244,0.0,0.0003509889977857726,0.2699999999999996,0.21999999999999975,0.04999999999999982,0.2699999999999996,0.33238095238095244,2802820.0,6.119575703862912,6.536904660759746,5.976428672573589,-1.9943
2002-03-06,6.43,6.75,6.41,6.53,6.4,1495731,9862521.0,2.031252,2.400002,2.124185,1.26984,3.327784,-4.905062,0.1299999999999999,0.28000000000000025,0.15000000000000036,0.3200000000000003,0.5200000000000005,-0.33333333333333337,-0.33333333333333337,-0.32417582417582413,6.328,6.331428571428572,6.265,6.077,6.170333333333334,6.272886980344666,6.272886980344666,6.272886980344666,6.272886980344666,6.272886980344666,60.20408163265306,-0.06219521754827806,-0.1637577937407204,124.55389007851528,0.004676547883901803,0.015432405038811717,0.04856796663491053,-0.0031152673169493115,0.0010731226773715906,0.33999999999999986,0.34999999999999964,0.009999999999999787,0.34999999999999964,0.33476190476190476,4298551.0,6.14856204711225,6.673571327426415,6.113095339240252,0.290697
2002-03-07,6.55,6.8,6.55,6.79,6.53,1375142,9223608.0,3.981619,2.031252,2.400002,-0.626959,1.449278,1.663892,0.2599999999999998,0.3899999999999997,0.4500000000000002,0.4900000000000002,0.6799999999999997,-0.16666666666666669,-0.3,-0.3214285714285714,6.418000000000001,6.401428571428572,6.333,6.1240000000000006,6.136666666666667,6.359072483620555,6.359072483620555,6.359072483620555,6.359072483620555,6.359072483620555,68.24644549763032,-0.015642783396430104,-0.13413479167186235,109.1954022988507,0.0030581063588208724,0.03598589192344431,0.037457562534900415,0.0,0.0008115128545717139,0.25,0.2699999999999996,0.019999999999999574,0.2699999999999996,0.3223809523809524,5673693.0,6.18767201522812,6.970489893562817,6.176176773103849,-1.88406
2002-03-08,6.86,7.08,6.78,7.05,6.79,2253108,15576175.0,3.829164,3.981619,2.031252,-3.470036,1.26984,-1.63666,0.2599999999999998,0.5199999999999996,0.9299999999999997,0.6699999999999999,1.04,0.0,-0.26666666666666666,-0.31868131868131866,6.604000000000001,6.497142857142856,6.437,6.183999999999999,6.121666666666667,6.4742270696837965,6.4742270696837965,6.4742270696837965,6.4742270696837965,6.4742270696837965,68.69158878504672,0.04174892750198733,-0.09895804783709242,119.02028319938731,0.010256500167189061,0.027320175086383257,0.03156646596783451,-0.011730339785489716,0.00032711785786646664,0.2999999999999998,0.29000000000000004,0.009999999999999787,0.2999999999999998,0.31190476190476196,7926801.0,6.265994487606934,7.309999999999985,6.270000000000015,0.295421
2002-03-11,7.05,7.25,6.92,7.24,7.05,1640089,11637413.0,2.695029,3.829164,3.981619,2.124185,-0.626959,3.327784,0.1900000000000004,0.4500000000000002,0.9900000000000002,0.9000000000000004,1.0300000000000002,-0.6666666666666666,-0.16666666666666669,-0.31043956043956045,6.802000000000001,6.625714285714286,6.540000000000001,6.282,6.128,6.601855891403163,6.601855891403163,6.601855891403163,6.601855891403163,6.601855891403163,70.35398230088494,0.10139486706625167,-0.058887464856423606,106.07714701601172,0.0,0.02659358957344786,0.027973852042406162,-0.018611847194599115,0.0007309983670451764,0.33000000000000007,0.20000000000000018,0.1299999999999999,0.33000000000000007,0.3076190476190477,9566890.0,6.326397238479848,7.478477836662852,6.574855496670481,0.147279
2002-03-12,7.24,7.24,7.0,7.01,7.24,1666367,11839590.0,-3.176789,2.695029,3.829164,2.400002,-3.470036,1.449278,-0.23000000000000043,-0.040000000000000036,0.6099999999999994,0.8899999999999997,0.71,-0.5,-0.13333333333333336,-0.3076923076923077,6.9239999999999995,6.752857142857143,6.611,6.3605,6.139666666666668,6.669879909502636,6.669879909502636,6.669879909502636,6.669879909502636,6.669879909502636,72.93577981651374,0.12862294088934956,-0.021385383707268973,62.09150326797378,0.0,-0.03228350535112633,0.0,-0.03371105734231172,0.000563477314602158,0.2400000000000002,0.0,0.2400000000000002,0.2400000000000002,0.2914285714285715,7900523.0,6.36691688520354,7.34576411454887,6.854235885451131,-0.44118
2002-03-13,7.01,7.01,6.68,6.69,7.01,1382858,9315401.0,-4.564909,-3.176789,2.695029,2.031252,2.124185,1.26984,-0.3199999999999994,-0.5499999999999998,0.16000000000000014,0.4400000000000004,0.3100000000000005,-0.33333333333333337,-0.09999999999999998,-0.30494505494505497,6.956,6.815714285714286,6.642,6.4079999999999995,6.138000000000001,6.673233257918864,6.673233257918864,6.673233257918864,6.673233257918864,6.673233257918864,62.08333333333333,0.1229626233332084,0.007484217700826502,-65.4121863799283,0.0,-0.04672382690636155,0.0,-0.048219713497944426,6.358523284244481e-05,0.33000000000000007,0.0,0.33000000000000007,0.33000000000000007,0.2871428571428572,6517665.0,6.382063977365311,7.5324490926773136,6.4275509073226855,-1.477103
