date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2015-03-10,72.21,79.05,72.21,79.05,71.86,3831852,298227456.0,10.0056,5.6299,-5.0523,-2.8258,-0.1996,0.5285,7.189999999999998,11.019999999999996,11.649999999999991,9.030000000000001,4.86999999999999,-0.5,-0.2,-0.3131868131868132,71.93199999999999,70.91714285714286,70.95700000000001,69.1765,60.01366666666667,70.81533382819508,70.81533382819508,70.81533382819508,70.81533382819508,70.81533382819508,68.97374701670644,7.428774404085033,8.297403536953789,161.34166470172107,0.004858758777717551,0.0905020231923909,0.0905020231923909,0.0,0.0025213569396174635,6.840000000000003,7.189999999999998,0.3499999999999943,7.189999999999998,5.0928571428571425,116743368.0,62.82474478312497,84.1694414516544,61.790558548345615,0.0867
2015-03-11,81.81,86.96,81.0,86.3,79.05,7385898,625473008.0,9.1714,10.0056,5.6299,2.4777,-0.9426,-1.6312,7.25,14.439999999999998,17.230000000000004,16.939999999999998,13.329999999999998,-0.33333333333333337,-0.16666666666666669,-0.31043956043956045,75.378,73.33714285714287,72.28999999999999,70.50500000000001,62.01866666666667,73.3961115234959,73.3961115234959,73.3961115234959,73.3961115234959,73.3961115234959,69.53719976567076,8.147716284293992,8.26746608642183,137.42388928035862,0.03431892187012582,0.0534301125637753,0.061048757287347016,-0.009950330853168092,0.0009927445824150522,5.959999999999994,7.909999999999997,1.9500000000000028,7.909999999999997,5.202380952380952,124129266.0,63.352375492035264,93.51004155118675,64.62995844881324,0.1541
2015-03-12,84.0,85.88,78.53,81.35,86.3,4513313,370848720.0,-5.7358,9.1714,10.0056,3.7353,-2.8258,-3.8509,-4.950000000000003,2.299999999999997,9.699999999999989,13.949999999999989,11.189999999999998,-0.16666666666666669,-0.13333333333333336,-0.3076923076923077,77.31800000000001,75.33000000000001,73.409,71.2875,63.77133333333333,74.72175960291325,74.72175960291325,74.72175960291325,74.72175960291325,74.72175960291325,60.30514610809412,8.223266574665175,8.2586261840705,65.20254513958298,-0.027012799246068645,-0.03205596517826692,0.022134174167266672,-0.06733608145653036,0.004319505605046321,7.349999999999994,0.4200000000000017,7.769999999999996,7.769999999999996,5.199047619047619,119615953.0,63.59621431985393,89.6430116889256,74.82365497774107,3.9712
2015-03-13,82.98,86.7,82.11,84.27,81.35,3258103,276149824.0,3.5894,-5.7358,9.1714,-5.0523,2.4777,-0.1996,2.9200000000000017,-2.030000000000001,16.239999999999995,15.200000000000003,14.25,0.0,-0.09999999999999998,-0.30494505494505497,80.566,77.50142857142858,74.834,72.353,65.52533333333334,76.3131330024277,76.3131330024277,76.3131330024277,76.3131330024277,76.3131330024277,62.7246236036911,8.421680430942715,8.291237033444943,65.23960935725624,0.01983878123967519,0.01542631487953995,0.04385426888177427,-0.010539803184024516,0.003533978553459426,4.590000000000003,5.3500000000000085,0.7600000000000051,5.3500000000000085,5.169523809523809,122874056.0,63.79645398065659,88.94993190397692,78.99673476268974,4.6518
2015-03-16,85.9,90.95,82.5,88.64,84.27,6257773,538015472.0,5.1857,3.5894,-5.7358,5.6299,3.7353,-0.9426,4.3700000000000045,7.290000000000006,16.78,16.989999999999995,19.28,-0.6666666666666666,0.0,-0.2967032967032967,83.922,79.92857142857143,76.762,73.6965,67.31933333333333,78.36761083535643,78.36761083535643,78.36761083535643,78.36761083535643,78.36761083535643,66.00974313551815,8.82976330488161,8.398942287732277,97.83099864437415,0.019157899205947713,0.031399394008763966,0.05712607597392144,-0.04038553564957441,0.0027240976866083977,8.450000000000003,6.680000000000007,1.769999999999996,8.450000000000003,5.323333333333333,129131829.0,64.25017999663257,92.09124402598499,77.41542264068167,-4.1181
2015-03-17,87.98,95.88,86.0,91.11,88.64,6635657,607316064.0,2.7866,5.1857,3.5894,10.0056,-5.0523,-2.8258,2.469999999999999,6.840000000000003,12.060000000000002,23.08,23.709999999999994,-0.5,0.033333333333333326,-0.29395604395604397,86.33399999999999,83.22571428571429,79.13300000000001,75.094,69.07966666666667,80.49134236279703,80.49134236279703,80.49134236279703,80.49134236279703,80.49134236279703,69.53899181387334,9.245899308054462,8.568333691796713,129.1902261712441,-0.0074737070783999745,0.03495805180519325,0.08598789364560978,-0.02276221966706606,0.00499591329096913,9.879999999999995,7.239999999999995,2.6400000000000006,9.879999999999995,5.594761904761905,135767486.0,64.76047003885364,94.93407118302994,81.07926215030338,3.0876
2015-03-18,91.5,91.8,86.43,89.64,91.11,5745087,510590656.0,-1.6134,2.7866,5.1857,9.1714,5.6299,2.4777,-1.4699999999999989,1.0,3.3400000000000034,17.78,20.570000000000007,-0.33333333333333337,0.06666666666666665,-0.2912087912087912,87.002,85.76571428571428,81.19,76.2595,70.66333333333334,82.01611863566418,82.01611863566418,82.01611863566418,82.01611863566418,82.01611863566418,71.60603371783496,9.349300458026875,8.724527045042745,57.23166940939853,0.004271404555708603,-0.020537323348749328,0.0032733253449691085,-0.057004134516928755,0.0038110322277499675,5.36999999999999,0.6899999999999977,4.679999999999993,5.36999999999999,5.621904761904761,130022399.0,65.16307902318054,92.28152749442543,87.3118058389079,0.9119
2015-03-19,87.8,87.88,85.55,86.37,89.64,4266809,368346480.0,-3.6479,-1.6134,2.7866,-5.7358,10.0056,3.7353,-3.269999999999996,-4.739999999999995,5.02000000000001,7.320000000000007,14.719999999999999,-0.16666666666666669,0.09999999999999998,-0.28846153846153844,88.006,86.81142857142856,82.662,76.92999999999999,71.99766666666666,82.74176552972015,82.74176552972015,82.74176552972015,82.74176552972015,82.74176552972015,66.95706285003112,9.0629133195947,8.792204299953136,-38.61508810572681,-0.02074014829165527,-0.016421107348876703,0.0009107468753383939,-0.025960500302868436,0.001428720468442131,2.3299999999999983,1.7600000000000051,4.090000000000003,4.090000000000003,5.48095238095238,125755590.0,65.4149261951217,93.89258693894266,84.18741306105736,1.5593
2015-03-20,86.0,87.26,84.18,87.2,86.37,3016281,258444956.0,0.961,-3.6479,-1.6134,3.5894,9.1714,-5.0523,0.8299999999999983,-2.4399999999999977,2.930000000000007,0.9000000000000057,19.17,0.0,0.1333333333333333,-0.2857142857142857,88.59200000000001,86.93999999999998,84.579,77.62100000000001,73.20533333333334,83.48480460810013,83.48480460810013,83.48480460810013,83.48480460810013,83.48480460810013,68.43737081438611,8.801465694673809,8.79405657889727,-76.37082791504106,-0.004293097038686517,0.01385703466142628,0.014544871441955917,-0.02138993291108309,0.000644603998655399,3.0799999999999983,0.8900000000000006,2.1899999999999977,3.0799999999999983,5.239047619047618,128771871.0,65.59629239232999,91.1362156563608,84.33711767697255,-7.293
2015-03-23,87.2,95.92,86.0,95.92,87.2,5590771,514329920.0,10.0,0.961,-3.6479,5.1857,-5.7358,5.6299,8.719999999999999,9.549999999999997,7.280000000000001,14.570000000000007,24.060000000000002,-0.6666666666666666,0.23333333333333328,-0.2774725274725275,90.048,89.02142857142857,86.985,78.72749999999999,74.53366666666666,85.55733717341678,85.55733717341678,85.55733717341678,85.55733717341678,85.55733717341678,75.8614435981139,9.191938744155479,8.873633011948913,105.70987654320993,0.0,0.09531017980432493,0.09531017980432493,-0.013857034661426241,0.001318252625214451,9.920000000000002,8.719999999999999,1.2000000000000028,9.920000000000002,5.4623809523809514,134362642.0,66.05710998573662,100.41079392106266,79.24920607893733,1.4586
