date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2020-03-05,7.04,7.22,6.94,7.17,6.96,272828864,1934405196.0,3.0172,-0.8547,-0.7072,-0.7003,-1.5069,2.0134,0.20999999999999996,0.15000000000000036,0.08000000000000007,-0.020000000000000462,-0.4299999999999997,-0.16666666666666669,-0.3666666666666667,-0.32417582417582413,7.017999999999999,7.045714285714285,7.134,7.343499999999999,7.249333333333333,7.145504449656434,7.145504449656434,7.145504449656434,7.145504449656434,7.145504449656434,46.85990338164251,-0.024183357295481045,0.032943999983216746,101.5037593984964,0.01142869582362285,0.018297484441578037,0.02524678273478389,-0.014306395651237858,0.0005528423340423973,0.27999999999999936,0.2599999999999998,0.019999999999999574,0.27999999999999936,0.3114285714285713,476280914.0,7.250533970447938,7.2663330765278635,6.833666923472136,0.48
2020-03-06,7.07,7.08,7.0,7.03,7.17,155505923,1093483648.0,-1.9526,3.0172,-0.8547,-3.103,-0.6954,-0.921,-0.13999999999999968,0.07000000000000028,0.16000000000000014,-0.10999999999999943,-0.5,0.0,-0.33333333333333337,-0.3214285714285714,7.05,7.03,7.0840000000000005,7.3084999999999996,7.257999999999999,7.126253708047028,7.126253708047028,7.126253708047028,7.126253708047028,7.126253708047028,43.891402714932134,-0.03233560830702764,0.01988807832516787,7.6628352490413825,-0.014045174703047527,-0.005673774085907825,0.0014134277971469427,-0.009950330853168092,0.0006669957404690657,0.08000000000000007,0.08999999999999986,0.16999999999999993,0.16999999999999993,0.30428571428571416,320774991.0,7.247733696411048,7.26718686576463,6.839479800902037,-0.3185
2020-03-09,6.9,6.95,6.86,6.88,7.03,139386054,960972467.0,-2.1337,-1.9526,3.0172,2.9112,-0.7003,-3.0544,-0.15000000000000036,-0.29000000000000004,-0.1900000000000004,-0.20999999999999996,-0.41999999999999993,-0.6666666666666666,-0.23333333333333334,-0.3131868131868132,7.0120000000000005,7.0,7.042,7.263499999999999,7.265666666666666,7.085211423372524,7.085211423372524,7.085211423372524,7.085211423372524,7.085211423372524,28.7179487179487,-0.05032001456043833,0.005846459748046628,-101.44927536231772,-0.01866529421935986,-0.0029027596579614626,0.007220247973487097,-0.005813969865419845,7.668168808417019e-05,0.08999999999999986,0.08000000000000007,0.16999999999999993,0.16999999999999993,0.277142857142857,181388937.0,7.243595454539165,7.316724132237444,6.736609201095889,-1.278
2020-03-10,6.8,6.96,6.7,6.93,6.88,151128709,1033336050.0,0.7267,-2.1337,-1.9526,-0.7072,-3.103,-1.5069,0.04999999999999982,-0.10000000000000053,-0.08999999999999986,0.05999999999999961,-0.2600000000000007,-0.5,-0.2,-0.31043956043956045,6.994,7.008571428571429,7.016,7.2315,7.252666666666666,7.0593428528104365,7.0593428528104365,7.0593428528104365,7.0593428528104365,7.0593428528104365,35.05747126436779,-0.05984830989219425,-0.007292494180001548,-83.86411889596634,-0.011696039763191298,0.01893720101975078,0.023256862164267183,-0.014815085785140587,0.00036118144372333935,0.2599999999999998,0.08000000000000007,0.17999999999999972,0.2599999999999998,0.25666666666666654,332517646.0,7.239815270772613,7.099419189831883,6.79391414350145,-0.1618
2020-03-11,6.92,7.14,6.87,6.94,6.93,166856669,1166411217.0,0.1443,0.7267,-2.1337,-0.8547,2.9112,-0.6954,0.010000000000000675,0.0600000000000005,-0.019999999999999574,-0.1299999999999999,-0.1999999999999993,-0.33333333333333337,-0.16666666666666669,-0.3076923076923077,6.99,6.99,6.996,7.197,7.228,7.03945237734203,7.03945237734203,7.03945237734203,7.03945237734203,7.03945237734203,29.37500000000003,-0.06583374572314504,-0.019000744488630247,4.535147392290521,-0.0014440435722335803,0.002886004889135073,0.03129700672191478,-0.007251663395320236,0.0007830118686670389,0.2699999999999996,0.20999999999999996,0.05999999999999961,0.2699999999999996,0.2533333333333332,499374315.0,7.235877488726155,6.980957671739997,6.852375661593337,-0.3241
2020-03-12,6.81,6.87,6.76,6.79,6.94,117269843,798641874.0,-2.1614,0.1443,0.7267,3.0172,-0.7072,-0.7003,-0.15000000000000036,-0.13999999999999968,-0.3799999999999999,-0.22999999999999954,-0.2999999999999998,-0.16666666666666669,-0.13333333333333336,-0.30494505494505497,6.914,6.957142857142856,6.965999999999999,7.163500000000001,7.210333333333334,6.997876981118359,6.997876981118359,6.997876981118359,6.997876981118359,6.997876981118359,27.976190476190496,-0.08173875959955268,-0.031548347510814735,-99.52038369304657,-0.018909654357292242,-0.002941178590816151,0.008771986072837041,-0.007369230106548221,0.0006598784283940679,0.11000000000000032,0.07000000000000028,0.1800000000000006,0.1800000000000006,0.24619047619047607,382104472.0,7.231799314857681,7.054396608338803,6.71893672499453,-0.6504
2020-03-13,6.53,6.79,6.45,6.69,6.79,133264825,881925107.0,-1.4728,-2.1614,0.1443,-1.9526,-0.8547,-3.103,-0.09999999999999964,-0.25,-0.33999999999999986,-0.2699999999999996,-0.17999999999999972,0.0,-0.09999999999999998,-0.30219780219780223,6.845999999999999,6.918571428571428,6.948,7.133,7.198333333333334,6.946564150931966,6.946564150931966,6.946564150931966,6.946564150931966,6.946564150931966,30.322580645161324,-0.10124566494888043,-0.04548781099842787,-143.20625610948133,-0.03904399828226504,0.02420693085179751,0.03904399828226504,-0.012326812480658634,0.0007684418811341333,0.33999999999999986,0.0,0.33999999999999986,0.33999999999999986,0.24714285714285703,248839647.0,7.226225826376939,7.058327814509032,6.555005518824303,-0.1637
2020-03-16,6.75,6.77,6.44,6.5,6.69,124221690,817858666.0,-2.8401,-1.4728,-2.1614,-2.1337,3.0172,2.9112,-0.1900000000000004,-0.29000000000000004,-0.3799999999999999,-0.6699999999999999,-0.5700000000000003,-0.6666666666666666,0.0,-0.29395604395604397,6.7700000000000005,6.822857142857144,6.891,7.093000000000001,7.203333333333334,6.872136792443305,6.872136792443305,6.872136792443305,6.872136792443305,6.872136792443305,28.834355828220865,-0.13053175130577443,-0.06249659905989719,-101.66666666666681,0.008928630744301398,-0.037740327982847086,0.0029585820397450414,-0.04701396476817609,0.0020318980334956896,0.3299999999999992,0.07999999999999918,0.25,0.3299999999999992,0.2509523809523808,124617957.0,7.2193282318319705,6.954618397253123,6.3653816027468775,-1.1475
2020-03-17,6.5,6.6,6.25,6.39,6.5,109606293,697997416.0,-1.6923,-2.8401,-1.4728,0.7267,-1.9526,-0.7072,-0.11000000000000032,-0.3000000000000007,-0.54,-0.6400000000000006,-0.6299999999999999,-0.5,0.033333333333333326,-0.2912087912087912,6.662000000000001,6.731428571428572,6.828,7.026999999999999,7.189333333333334,6.791780660369421,6.791780660369421,6.791780660369421,6.791780660369421,6.791780660369421,27.810650887573985,-0.16076407820868788,-0.08215009488965533,-106.29921259842595,0.0,-0.017067908512147997,0.01526747213078838,-0.03922071315328127,0.0009408991521840681,0.34999999999999964,0.09999999999999964,0.25,0.34999999999999964,0.26095238095238077,15011664.0,7.21243590141864,6.830201398342185,6.22313193499115,5.3068
2020-03-18,6.42,6.5,6.3,6.3,6.39,86107331,551396150.0,-1.4084,-1.6923,-2.8401,0.1443,-2.1337,-0.8547,-0.08999999999999986,-0.20000000000000018,-0.6400000000000006,-0.5800000000000001,-0.6600000000000001,-0.33333333333333337,0.06666666666666665,-0.28846153846153844,6.534000000000001,6.648571428571429,6.7620000000000005,6.969500000000001,7.156000000000001,6.709817216974518,6.709817216974518,6.709817216974518,6.709817216974518,6.709817216974518,27.167630057803493,-0.18979779212739523,-0.10367963433720331,-94.77124183006497,0.0046838493124264375,-0.018868484304382805,0.012384059199721622,-0.018868484304382805,0.0008173458324637267,0.20000000000000018,0.11000000000000032,0.08999999999999986,0.20000000000000018,0.24285714285714266,-71095667.0,7.206517282666548,6.596999722684196,6.196333610649135,2.3622
