date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2007-01-16,8.88,9.14,8.7,9.03,8.77,59187746,530270738.0,2.964644,4.529203,-7.395144,-1.34983,0.857839,-3.670885,0.2599999999999998,0.6399999999999988,0.2599999999999998,0.7999999999999989,1.419999999999999,-0.5,0.0,-0.45879120879120877,8.884,8.868571428571428,8.642,8.297,8.126,8.606360553510058,8.606360553510058,8.606360553510058,8.606360553510058,8.606360553510058,65.60196560196559,0.4027818028402059,0.37047729876883584,16.851623510069636,0.012464750619987192,0.016750810424815132,0.028858828461979978,-0.02047853134354079,0.0012545931570015578,0.4400000000000013,0.370000000000001,0.07000000000000028,0.4400000000000013,0.5076190476190476,828391860.0,7.926917314460466,9.37373907757726,8.086260922422737,3.075176
2007-01-17,9.05,9.12,8.39,8.57,9.03,56947752,500436125.0,-5.094131,2.964644,4.529203,4.560999,8.019451,4.467801,-0.4599999999999991,-0.1999999999999993,-0.5999999999999996,-0.3200000000000003,0.6200000000000001,-0.33333333333333337,0.033333333333333326,-0.45604395604395603,8.764,8.822857142857142,8.703999999999999,8.3245,8.199333333333334,8.600300461258382,8.600300461258382,8.600300461258382,8.600300461258382,8.600300461258382,58.574610244988875,0.3726635538452747,0.37091454978412364,-42.462845010615624,0.0022123902829408637,-0.05449702510214638,0.007705046374405182,-0.07572423723272001,0.0017253625181509363,0.7299999999999986,0.08999999999999986,0.6399999999999988,0.7299999999999986,0.5257142857142857,771444108.0,7.939151160808235,9.251302503786862,8.328697496213136,1.104966
2007-01-18,8.5,8.69,8.3,8.62,8.57,40813449,345354988.0,0.583433,-5.094131,2.964644,-1.19956,-1.34983,2.64151,0.049999999999998934,-0.41000000000000014,-0.4400000000000013,-0.15000000000000036,0.4599999999999991,-0.16666666666666669,0.06666666666666665,-0.4532967032967033,8.675999999999998,8.801428571428572,8.75,8.338,8.253,8.603583717715317,8.603583717715317,8.603583717715317,8.603583717715317,8.603583717715317,61.893764434180135,0.3488083609991559,0.36649331202713015,-94.65020576131755,-0.008201569113417633,0.014018921179330778,0.022106775781029778,-0.023810648693718447,0.0016971995817206943,0.3899999999999988,0.11999999999999922,0.2699999999999996,0.3899999999999988,0.5114285714285713,812257557.0,7.948308988201552,9.244777178564986,8.235222821435014,0.983608
2007-01-19,8.6,9.05,8.58,8.93,8.62,50156629,445582911.0,3.596292,0.583433,-5.094131,-7.395144,4.560999,0.857839,0.3100000000000005,0.35999999999999943,0.5399999999999991,-0.2400000000000002,0.6999999999999993,0.0,0.09999999999999998,-0.45054945054945056,8.783999999999999,8.767142857142856,8.82,8.3655,8.293666666666667,8.657986431429432,8.657986431429432,8.657986431429432,8.657986431429432,8.657986431429432,61.893764434180135,0.3508727157664495,0.363369192774994,59.279950341402596,-0.0023228814161396385,0.037654191628945656,0.05100255445237279,-0.0023282897595910735,0.0008932783790957501,0.47000000000000064,0.4300000000000015,0.03999999999999915,0.47000000000000064,0.5052380952380953,862414186.0,7.964272245307422,9.096709399368303,8.316623933965028,-2.272728
2007-01-22,9.02,9.36,9.02,9.23,8.93,59001190,543016780.0,3.359454,3.596292,0.583433,4.529203,-1.19956,8.019451,0.3000000000000007,0.6100000000000012,0.46000000000000085,0.16999999999999993,0.33999999999999986,-0.6666666666666666,0.19999999999999996,-0.4423076923076923,8.876000000000001,8.791428571428572,8.854,8.4155,8.318666666666667,8.753322026191194,8.753322026191194,8.753322026191194,8.753322026191194,8.753322026191194,68.66359447004609,0.372423162199329,0.365179986659861,126.48597242035211,0.010027939186124492,0.023014714440228637,0.037000956414968304,0.0,0.0006797794254653918,0.33999999999999986,0.4299999999999997,0.08999999999999986,0.4299999999999997,0.5052380952380953,921415376.0,7.988029186075305,9.536693988459195,8.31663934487414,-0.553712
2007-01-23,9.31,9.38,8.77,9.03,9.23,53312895,480844002.0,-2.166845,3.359454,3.596292,2.964644,-7.395144,-1.34983,-0.20000000000000107,0.09999999999999964,0.0,0.6399999999999988,0.2599999999999998,-0.5,0.23333333333333328,-0.43956043956043955,8.876,8.882857142857143,8.879999999999999,8.473,8.334333333333333,8.799435021825996,8.799435021825996,8.799435021825996,8.799435021825996,8.799435021825996,62.85714285714285,0.3691088605476036,0.36596576143740955,60.56755612028812,0.00863004277421497,-0.030536723860081764,0.007490671729157659,-0.05975228490488411,0.0012875258591422709,0.6100000000000012,0.15000000000000036,0.46000000000000085,0.6100000000000012,0.5161904761904762,868102481.0,8.005406132372395,9.368838379663776,8.757828287002893,1.447663
2007-01-24,9.03,9.93,8.87,9.93,9.03,110228912,1050096387.0,9.966784,-2.166845,3.359454,-5.094131,4.529203,4.560999,0.9000000000000004,0.6999999999999993,1.3599999999999994,1.1600000000000001,0.7599999999999998,-0.33333333333333337,0.2666666666666667,-0.4368131868131868,9.148,9.04857142857143,8.956,8.5815,8.398,8.98786251818833,8.98786251818833,8.98786251818833,8.98786251818833,8.98786251818833,68.09815950920245,0.43410068847804517,0.3795927468455367,125.98923710034845,0.0,0.09500811062818716,0.09500811062818716,-0.0178775711074059,0.0025203710915770953,1.0600000000000005,0.9000000000000004,0.16000000000000014,1.0600000000000005,0.5485714285714286,978331393.0,8.069556285107332,10.341829791917206,8.451503541416127,-2.085616
2007-01-25,10.09,10.55,9.62,9.7,9.93,138421167,1388176057.0,-2.316218,9.966784,-2.166845,0.583433,2.964644,-1.19956,-0.23000000000000043,0.6699999999999999,1.08,0.6699999999999999,0.6399999999999988,-0.16666666666666669,0.30000000000000004,-0.4340659340659341,9.364,9.144285714285713,9.02,8.6765,8.441333333333333,9.106552098490274,9.106552098490274,9.106552098490274,9.106552098490274,9.106552098490274,64.55445544554455,0.46172561704488047,0.3960193208854055,119.5928753180661,0.01598435630843638,-0.03941894885618048,0.04458102555655798,-0.04770056968790256,0.003673357545523366,0.9300000000000015,0.620000000000001,0.3100000000000005,0.9300000000000015,0.5780952380952381,839910226.0,8.135059615385549,10.488498202933002,8.618168463733664,1.121081
2007-01-26,9.41,9.68,8.78,9.41,9.7,75653864,699282238.0,-2.98969,-2.316218,9.966784,3.596292,-5.094131,-7.395144,-0.28999999999999915,-0.5199999999999996,0.4800000000000004,0.8399999999999999,1.0199999999999996,0.0,0.33333333333333337,-0.43131868131868134,9.459999999999999,9.264285714285714,9.122,8.7675,8.496666666666666,9.157126748741895,9.157126748741895,9.157126748741895,9.157126748741895,9.157126748741895,55.55555555555556,0.4549733460696679,0.40781012592225796,-30.37531806615762,-0.030352931912048763,0.0,0.02828894769119725,-0.06929654595026312,0.005623893075172589,0.9000000000000004,0.019999999999999574,0.9199999999999999,0.9199999999999999,0.6095238095238096,764256362.0,8.16245283944716,10.201152568831846,9.158847431168153,-2.32816
2007-01-29,9.5,10.03,9.35,9.87,9.41,60684545,590467013.0,4.888417,-2.98969,-2.316218,3.359454,0.583433,4.529203,0.4599999999999991,0.16999999999999993,0.6399999999999988,1.25,1.0999999999999996,-0.6666666666666666,0.43333333333333335,-0.4230769230769231,9.588,9.442857142857141,9.232,8.866,8.565,9.275938957284913,9.275938957284913,9.275938957284913,9.275938957284913,9.275938957284913,60.95617529880479,0.48119338053558636,0.4224867768449237,52.922590837282726,0.00951884500920684,0.038208054838895056,0.054288803367348884,-0.015915455305899568,0.004233021443659481,0.6799999999999997,0.6199999999999992,0.0600000000000005,0.6799999999999997,0.6257142857142858,824940907.0,8.191383067499682,10.125188133984551,9.194811866015446,0.113499
2007-01-30,9.9,10.25,9.51,9.76,9.87,63660635,631862601.0,-1.114485,4.888417,-2.98969,-2.166845,3.596292,2.964644,-0.10999999999999943,0.34999999999999964,0.7300000000000004,0.8300000000000001,0.7300000000000004,-0.5,0.4666666666666667,-0.42032967032967034,9.733999999999998,9.561428571428573,9.305,8.973499999999998,8.633000000000001,9.356615797737428,9.356615797737428,9.356615797737428,9.356615797737428,9.356615797737428,56.236786469344615,0.4874775285583368,0.43548492718760634,52.58467023172869,0.003034903695154111,-0.014242356715543216,0.03474294844387284,-0.04019088058324534,0.002192924774877302,0.7400000000000002,0.3800000000000008,0.35999999999999943,0.7400000000000002,0.6395238095238095,761280272.0,8.218775953646695,10.160416485978605,9.199583514021395,2.494334
2007-01-31,9.6,9.73,8.91,8.99,9.76,56833849,529374811.0,-7.889349,-1.114485,4.888417,9.966784,3.359454,-5.094131,-0.7699999999999996,-0.879999999999999,-0.9399999999999995,-0.2400000000000002,0.41999999999999993,-0.33333333333333337,0.5,-0.4175824175824176,9.546,9.527142857142858,9.346999999999998,9.0255,8.665333333333335,9.295513164781191,9.295513164781191,9.295513164781191,9.295513164781191,9.295513164781191,49.350649350649356,0.42542120545868656,0.43347218284182243,-92.60977118119989,-0.016529301951210582,-0.06565024999026159,0.013450797724123257,-0.07458885699107251,0.002357331239178277,0.8200000000000003,0.02999999999999936,0.8499999999999996,0.8499999999999996,0.6595238095238094,704446423.0,8.230615061465997,10.498957767578963,8.581042232421035,-0.442478
