date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2004-03-11,7.92,7.96,7.83,7.86,7.9,18933514,149174186.21,-0.51,3.27,-0.39,-0.25,1.1,0.25,-0.040000000000000036,0.20999999999999996,-0.22999999999999954,-0.41999999999999904,-0.29000000000000004,-0.16666666666666669,-0.16666666666666669,-0.3076923076923077,7.806,7.890000000000001,7.986,8.242999999999999,8.398333333333333,7.9945132732618,7.9945132732618,7.9945132732618,7.9945132732618,7.9945132732618,32.487309644670034,-0.12135647170905983,-0.041897525803290675,37.31343283582094,0.0025284463533586906,-0.007604599385219304,0.005037794029957081,-0.011428695823622744,0.00010816316332248096,0.1299999999999999,0.05999999999999961,0.07000000000000028,0.1299999999999999,0.2590476190476191,332752587.0,8.350034724609735,8.071909827713128,7.534756838953539,0.56
2004-03-12,7.87,7.9,7.73,7.79,7.86,14711784,114485729.99,-0.89,-0.51,3.27,-1.85,-2.05,0.12,-0.07000000000000028,-0.11000000000000032,-0.15000000000000036,-0.3199999999999994,-0.3700000000000001,0.0,-0.13333333333333336,-0.30494505494505497,7.776000000000001,7.844285714285715,7.949,8.203,8.405,7.960427727718168,7.960427727718168,7.960427727718168,7.960427727718168,7.960427727718168,37.209302325581376,-0.13023232366641224,-0.059564485375914994,17.094017094017502,0.0012714559881966659,-0.01021720254665494,0.0038046970436640664,-0.017949199829981253,0.00013908800197703702,0.16999999999999993,0.040000000000000036,0.1299999999999999,0.16999999999999993,0.24714285714285716,318040803.0,8.346335861195385,7.961355287256631,7.73864471274337,-2.95
2004-03-15,7.79,8.09,7.76,8.04,7.79,32354076,257890981.87,3.21,-0.89,-0.51,-3.27,-0.25,0.37,0.2499999999999991,0.17999999999999883,0.35999999999999943,-0.05000000000000071,-0.15000000000000036,-0.6666666666666666,-0.033333333333333326,-0.2967032967032967,7.847999999999999,7.837142857142857,7.934,8.168000000000001,8.394666666666668,7.9736897730984735,7.9736897730984735,7.9736897730984735,7.9736897730984735,7.9736897730984735,37.572254335260055,-0.11575918974506472,-0.07080342624974495,120.9273182957408,0.0,0.03158822330821793,0.0377878711877433,-0.0038585256875295227,0.00032879442453760075,0.33000000000000007,0.2999999999999998,0.03000000000000025,0.33000000000000007,0.2504761904761905,350394879.0,8.34195002835844,8.154607228295385,7.6387261050379465,0.0
2004-03-16,8.06,8.1,8.01,8.04,8.04,20407782,164327439.65,0.0,3.21,-0.89,-0.39,-1.85,1.1,0.0,0.2499999999999991,0.3899999999999988,0.09999999999999876,-0.2400000000000002,-0.5,0.0,-0.29395604395604397,7.925999999999999,7.8514285714285705,7.909999999999999,8.1355,8.379333333333333,7.9847414775820615,7.9847414775820615,7.9847414775820615,7.9847414775820615,7.9847414775820615,46.76258992805749,-0.10310064676115882,-0.07726287035202772,118.73638344226546,0.002484473327662187,-0.0024844733276620564,0.0049505051598559835,-0.006222795438269185,0.00024723102087469595,0.08999999999999986,0.0600000000000005,0.02999999999999936,0.08999999999999986,0.2438095238095239,350394879.0,8.339247615257722,8.245341801261487,7.667991532071845,0.14
2004-03-17,8.04,8.05,7.85,8.01,8.04,24351564,193358167.6,-0.37,0.0,3.21,3.27,-3.27,-2.05,-0.02999999999999936,-0.02999999999999936,0.10999999999999943,0.33000000000000007,-0.09999999999999964,-0.33333333333333337,0.033333333333333326,-0.2912087912087912,7.947999999999999,7.898571428571429,7.9,8.101499999999998,8.356666666666666,7.988951231318385,7.988951231318385,7.988951231318385,7.988951231318385,7.988951231318385,44.99999999999997,-0.09440121112691635,-0.08069053850700546,32.83767038413859,0.0,-0.003738322110607104,0.0012430082395972445,-0.02391555139655791,0.00025605623172234943,0.20000000000000107,0.010000000000001563,0.1899999999999995,0.20000000000000107,0.24095238095238103,326043315.0,8.33576859521355,8.064641016151443,7.995358983848557,1.3
2004-03-18,8.1,8.29,8.05,8.09,8.01,41678727,341165075.58,1.0,-0.37,0.0,-0.51,-0.39,-0.25,0.08000000000000007,0.05000000000000071,0.22999999999999954,0.4399999999999995,0.0,-0.16666666666666669,0.06666666666666665,-0.28846153846153844,7.994,7.961428571428571,7.9,8.068,8.319666666666667,8.00579269276532,8.00579269276532,8.00579269276532,8.00579269276532,8.00579269276532,47.619047619047606,-0.08012785031801428,-0.08057800086920723,118.68686868686858,0.011173300598125255,-0.0012353306079927434,0.02318590746881054,-0.006191970247920995,0.0005629714855011614,0.23999999999999844,0.27999999999999936,0.040000000000000924,0.27999999999999936,0.25428571428571434,367722042.0,8.331402791883692,8.12749570435324,7.965837628980093,-2.28
2004-03-19,8.09,8.24,8.06,8.18,8.09,21122626,172633911.25,1.11,1.0,-0.37,-0.89,3.27,-1.85,0.08999999999999986,0.16999999999999993,0.3899999999999997,0.27999999999999936,0.23999999999999932,0.0,0.09999999999999998,-0.2857142857142857,8.072,8.001428571428571,7.9239999999999995,8.0495,8.291666666666666,8.034827243971101,8.034827243971101,8.034827243971101,8.034827243971101,8.034827243971101,49.67320261437909,-0.060852392700578406,-0.07663287923548147,90.69493521790302,0.0,0.011063419544255354,0.018371612850980063,-0.0037151745518633197,0.00043059889131848183,0.17999999999999972,0.15000000000000036,0.02999999999999936,0.17999999999999972,0.24999999999999994,388844668.0,8.330051924196963,8.263431344295649,7.923235322371019,-1.46
2004-03-22,8.17,8.22,8.04,8.1,8.18,16313880,132488562.14,-0.98,1.11,1.0,3.21,-0.51,-3.27,-0.08000000000000007,0.009999999999999787,0.0600000000000005,0.23999999999999932,0.41999999999999993,-0.6666666666666666,0.19999999999999996,-0.2774725274725275,8.084,8.035714285714285,7.965999999999999,8.043,8.257,8.045689369975918,8.045689369975918,8.045689369975918,8.045689369975918,8.045689369975918,44.07894736842105,-0.05143883026298113,-0.0715940694409814,33.19209039548128,-0.001223241742744094,-0.008604847193518414,0.006101300196177113,-0.016039825681036637,0.00019938050787879623,0.1800000000000015,0.040000000000000924,0.14000000000000057,0.1800000000000015,0.24000000000000007,372530788.0,8.328477464117592,8.221990990579666,8.024675676087,-2.66
2004-03-23,8.1,8.1,7.95,8.01,8.1,19224318,154015285.98,-1.11,-0.98,1.11,0.0,-0.89,-0.39,-0.08999999999999986,-0.16999999999999993,-0.02999999999999936,0.21999999999999975,0.35999999999999943,-0.5,0.23333333333333328,-0.27472527472527475,8.078,8.067142857142857,8.001999999999999,8.02,8.228666666666667,8.039741141646598,8.039741141646598,8.039741141646598,8.039741141646598,8.039741141646598,46.527777777777786,-0.05065682174049968,-0.06740661990088506,-59.56907477819913,0.0,-0.011173300598125189,0.0,-0.01869213301215252,0.00016207817649888172,0.14999999999999947,0.0,0.14999999999999947,0.14999999999999947,0.22952380952380955,353306470.0,8.325929521334583,8.266764677628979,7.926568655704352,2.43
2004-03-24,7.98,8.15,7.95,8.12,8.01,18827520,151962501.55,1.37,-1.11,-0.98,-0.37,3.21,3.27,0.10999999999999943,0.019999999999999574,0.10999999999999943,0.08000000000000007,0.21999999999999886,-0.33333333333333337,0.2666666666666667,-0.271978021978022,8.1,8.078571428571427,8.024,8.019499999999999,8.198333333333332,8.053117618038831,8.053117618038831,8.053117618038831,8.053117618038831,8.053117618038831,50.98039215686273,-0.04069192250789477,-0.06206368042228701,-44.11764705882556,-0.0037523496185503527,0.01739174271186902,0.021079515791053913,-0.0037664827954768934,0.00017631578882184367,0.20000000000000018,0.14000000000000057,0.05999999999999961,0.20000000000000018,0.22714285714285717,372133990.0,8.324328554982994,8.193855972208322,7.9594773611250105,1.93
2004-03-25,8.12,8.28,8.06,8.15,8.12,22249303,182034545.72,0.37,1.37,-1.11,1.0,0.0,-0.51,0.030000000000001137,0.14000000000000057,0.0600000000000005,0.11000000000000121,0.29000000000000004,-0.16666666666666669,0.30000000000000004,-0.2692307692307692,8.111999999999998,8.094285714285714,8.052999999999999,8.019499999999999,8.179666666666666,8.069264681699027,8.069264681699027,8.069264681699027,8.069264681699027,8.069264681699027,57.446808510638306,-0.030027777268584188,-0.055656499791546445,76.92307692307824,0.0,0.003687773079184836,0.01951281422358172,-0.007416597655049483,0.00026719637613690654,0.21999999999999886,0.16000000000000014,0.05999999999999872,0.21999999999999886,0.21666666666666665,394383293.0,8.322741530414795,8.240755629249982,7.9459110374166855,-1.16
2004-03-26,8.18,8.21,8.07,8.15,8.15,11467242,93124934.6,0.0,0.37,1.37,1.11,-0.37,-0.89,0.0,0.030000000000001137,-0.02999999999999936,0.14000000000000057,0.3600000000000003,0.0,0.33333333333333337,-0.2664835164835165,8.106,8.114285714285714,8.089,8.019,8.165,8.082720568082522,8.082720568082522,8.082720568082522,8.082720568082522,8.082720568082522,70.43478260869571,-0.021330480830165754,-0.04879129599927031,57.17054263565917,0.0036742233618843254,-0.0036742233618842243,0.003660772849681377,-0.01353866833279818,0.0002630439014664118,0.14000000000000057,0.0600000000000005,0.08000000000000007,0.14000000000000057,0.21190476190476196,394383293.0,8.32193481286065,8.174641016151405,8.105358983848596,-2.65
2004-03-29,8.13,8.22,7.91,7.94,8.15,20807105,168287562.13,-2.58,0.0,0.37,-0.98,1.0,3.21,-0.20999999999999996,-0.20999999999999996,-0.15999999999999925,-0.14999999999999947,-0.09999999999999876,-0.6666666666666666,0.43333333333333335,-0.2582417582417582,8.074000000000002,8.092857142857143,8.078999999999999,8.006499999999999,8.138333333333334,8.058933806735435,8.058933806735435,8.058933806735435,8.058933806735435,8.058933806735435,60.90225563909775,-0.031025414038468924,-0.045238119607110036,-74.43365695792757,-0.002457003693052103,-0.023647648300674885,0.011009285508369396,-0.027433141780156798,0.00033202591132440375,0.3100000000000005,0.07000000000000028,0.2400000000000002,0.3100000000000005,0.2190476190476191,373576188.0,8.318725573887217,8.32248711305965,7.837512886940352,0.0
2004-03-30,7.93,7.93,7.55,7.65,7.94,40258019,308172204.42,-3.65,-2.58,0.0,-1.11,1.11,0.0,-0.29000000000000004,-0.5,-0.35999999999999943,-0.5299999999999994,-0.3899999999999988,-0.5,0.4666666666666667,-0.2554945054945055,8.001999999999999,8.017142857142858,8.040000000000001,7.975,8.103666666666667,7.99077817227953,7.99077817227953,7.99077817227953,7.99077817227953,7.99077817227953,40.87591240875912,-0.06140149659154304,-0.04847079500399664,-166.6666666666662,-0.0012602396122877771,-0.035947387808312026,0.0,-0.0491054723858233,0.000528084381425803,0.3799999999999999,0.010000000000000675,0.39000000000000057,0.39000000000000057,0.2238095238095239,333318169.0,8.30802769379923,8.415462134870687,7.411204531795981,-0.15
