date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2002-02-28,7.7,7.78,7.66,7.68,7.7,421798,3251827.19,-0.25974,1.315788,0.131749,0.797872,2.010725,8.588067,-0.020000000000000462,0.08000000000000007,0.09999999999999964,0.0699999999999994,0.21999999999999975,-0.16666666666666669,0.4,-0.34065934065934067,7.606,7.589999999999999,7.553999999999999,7.286,7.659000000000001,7.538172084861285,7.538172084861285,7.538172084861285,7.538172084861285,7.538172084861285,61.434977578475326,-0.10045073988651865,-0.1995943489804732,102.45310245310276,0.0,-0.0026007817000574785,0.010336009330662073,-0.005208345107138235,0.00025686283023344634,0.1200000000000001,0.08000000000000007,0.040000000000000036,0.1200000000000001,0.41571428571428576,-180620.0,7.5806591427966525,7.765830052442611,7.554169947557387,-0.850543
2002-03-01,7.6,7.7,7.5,7.67,7.68,410781,3112911.55,-0.130205,-0.25974,1.315788,-1.583112,-1.182656,-1.608578,-0.009999999999999787,-0.03000000000000025,0.20999999999999996,0.15000000000000036,0.33000000000000007,0.0,-0.5,-0.33791208791208793,7.648000000000001,7.611428571428571,7.586999999999999,7.2909999999999995,7.626,7.560143404051072,7.560143404051072,7.560143404051072,7.560143404051072,7.560143404051072,79.19075144508666,-0.0820972197521952,-0.17609492313481762,-15.366430260050265,-0.010471299867295366,0.009168368086879507,0.013072081567352921,-0.013245226750020567,0.0002884518416606843,0.20000000000000018,0.020000000000000462,0.17999999999999972,0.20000000000000018,0.39238095238095233,-591401.0,7.583136007044913,7.713883837966467,7.6527828287002,3.431369
2002-03-04,7.59,7.9,7.57,7.85,7.67,560471,4363016.79,2.346803,-0.130205,-0.25974,1.742629,0.797872,1.634876,0.17999999999999972,0.16999999999999993,0.2599999999999998,0.2699999999999996,0.3899999999999997,-0.6666666666666666,-0.4,-0.32967032967032966,7.7,7.6499999999999995,7.6259999999999994,7.335499999999999,7.605999999999999,7.608452836709226,7.608452836709226,7.608452836709226,7.608452836709226,7.608452836709226,79.42857142857139,-0.052423125974566886,-0.1513605637027675,117.20867208672108,-0.01048502397162625,0.03368194038677846,0.04003116806543731,-0.0026385239581810604,0.0003451521756747881,0.33000000000000007,0.23000000000000043,0.09999999999999964,0.33000000000000007,0.3814285714285715,-30930.0,7.592862586931133,7.935653212073259,7.531013454593408,-1.303313
2002-03-05,7.85,7.99,7.81,7.93,7.85,495045,3914281.23,1.019107,2.346803,-0.130205,0.131749,-1.583112,2.010725,0.08000000000000007,0.2599999999999998,0.33000000000000007,0.46999999999999975,0.3199999999999994,-0.5,-0.3666666666666667,-0.3269230769230769,7.766,7.717142857142856,7.6579999999999995,7.403999999999999,7.5906666666666665,7.662044030591022,7.662044030591022,7.662044030591022,7.662044030591022,7.662044030591022,79.77528089887636,-0.022195011180418334,-0.12552745319829767,134.63463463463395,0.0,0.01013950385243955,0.017677227983866232,-0.005108567942722466,0.0003352684312972157,0.1800000000000006,0.14000000000000057,0.040000000000000036,0.1800000000000006,0.3528571428571429,464115.0,7.603377549788005,8.082999791405848,7.5503335419274835,-0.120051
2002-03-06,7.95,8.09,7.82,7.85,7.93,852861,6789131.21,-1.008826,1.019107,2.346803,1.315788,1.742629,-1.182656,-0.08000000000000007,0.0,0.14999999999999947,0.2599999999999998,0.33000000000000007,-0.33333333333333337,-0.33333333333333337,-0.32417582417582413,7.795999999999999,7.7542857142857144,7.691,7.4455,7.569999999999999,7.693370025492518,7.693370025492518,7.693370025492518,7.693370025492518,7.693370025492518,65.35433070866138,-0.0046408470404966096,-0.10135013196673746,86.58008658008637,0.0025188930194839864,-0.012658396871923577,0.017456802404159786,-0.016487374109020816,0.0003921885426261657,0.2699999999999996,0.16000000000000014,0.10999999999999943,0.2699999999999996,0.33666666666666667,-388746.0,7.615953382143992,7.969042709737025,7.784290623596307,-0.240379
2002-03-07,7.85,8.16,7.85,8.06,7.85,649748,5220645.36,2.675166,-1.008826,1.019107,-0.25974,0.131749,0.797872,0.21000000000000085,0.13000000000000078,0.3800000000000008,0.46000000000000085,0.4800000000000004,-0.16666666666666669,-0.3,-0.3214285714285714,7.872,7.819999999999999,7.739,7.494,7.547666666666667,7.754475021243765,7.754475021243765,7.754475021243765,7.754475021243765,7.754475021243765,76.47058823529409,0.025917439360188865,-0.0758966177013522,95.23809523809538,0.0,0.02640002472422007,0.03873063718169857,0.0,0.0005543659436949091,0.3100000000000005,0.3100000000000005,0.0,0.3100000000000005,0.3190476190476191,261002.0,7.632558704271225,8.158641507941136,7.734691825392197,-2.048194
2002-03-08,8.1,8.26,8.02,8.23,8.06,1250658,10205416.64,2.10917,2.675166,-1.008826,-0.130205,1.315788,-1.583112,0.16999999999999993,0.3800000000000008,0.5600000000000005,0.5300000000000002,0.7700000000000005,0.0,-0.26666666666666666,-0.31868131868131866,7.984,7.895714285714285,7.816,7.547,7.538666666666668,7.833729184369805,7.833729184369805,7.833729184369805,7.833729184369805,7.833729184369805,77.30496453900706,0.06312501486659183,-0.0480922911877634,127.83171521035574,0.0049505051598559835,0.015921953010585476,0.019560525854493572,-0.00992563979996993,0.00038765970473357444,0.2400000000000002,0.1999999999999993,0.040000000000000924,0.2400000000000002,0.30571428571428577,1511660.0,7.672675004566266,8.42736777427385,7.665965559059483,0.615008
2002-03-11,8.29,8.55,8.19,8.53,8.23,1168234,9773382.85,3.645203,2.10917,2.675166,2.346803,-0.25974,1.742629,0.29999999999999893,0.46999999999999886,0.6799999999999997,0.8499999999999996,0.9399999999999995,-0.6666666666666666,-0.16666666666666669,-0.31043956043956045,8.120000000000001,8.017142857142858,7.909999999999999,7.6404999999999985,7.543,7.949774320308171,7.949774320308171,7.949774320308171,7.949774320308171,7.949774320308171,79.48717948717943,0.1154884997805361,-0.015376132994103502,134.24437299035426,0.007263954458225057,0.028539392356384165,0.030881313801465377,-0.01213607128222556,0.00042074985435805326,0.3600000000000012,0.3200000000000003,0.040000000000000924,0.3600000000000012,0.30809523809523814,2679894.0,7.723274117422153,8.749288513296044,7.797378153370624,-1.466991
2002-03-12,8.51,8.62,8.31,8.39,8.53,1521271,12899916.38,-1.641259,3.645203,2.10917,1.019107,-0.130205,0.131749,-0.1399999999999988,0.16000000000000014,0.46000000000000085,0.7200000000000006,0.7900000000000009,-0.5,-0.13333333333333336,-0.3076923076923077,8.212,8.120000000000001,7.989,7.718999999999999,7.546333333333334,8.023145266923475,8.023145266923475,8.023145266923475,8.023145266923475,8.023145266923475,77.01863354037272,0.14402982272131215,0.01650505814897963,86.27174424071484,-0.0023474189183048965,-0.01420142210616785,0.012843142090318794,-0.023782333717925916,0.00064362317489664,0.3099999999999987,0.08999999999999986,0.21999999999999886,0.3099999999999987,0.29809523809523814,1158623.0,7.770858463147856,8.683555473311943,8.083111193354723,-0.248145
2002-03-13,8.4,8.62,8.2,8.25,8.39,1293819,10932128.78,-1.668657,-1.641259,3.645203,-1.008826,2.346803,1.315788,-0.14000000000000057,-0.27999999999999936,0.40000000000000036,0.40000000000000036,0.5499999999999998,-0.33333333333333337,-0.09999999999999998,-0.30494505494505497,8.292,8.177142857142858,8.044,7.787999999999999,7.541666666666667,8.060954389102896,8.060954389102896,8.060954389102896,8.060954389102896,8.060954389102896,69.8224852071006,0.15358180140458444,0.04392040680010059,33.154121863799226,0.0011911853701530102,-0.018018505502678365,0.025853378826333706,-0.02409755157906064,0.0008620943396297597,0.41999999999999993,0.22999999999999865,0.19000000000000128,0.41999999999999993,0.29904761904761906,-135196.0,7.7982776936373845,8.670000000000007,8.109999999999994,-0.746268
