date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2004-09-14,10.2,10.68,10.2,10.49,10.09,1109500,11619294.58,3.96,-3.63,0.48,0.47,-2.2,0.74,0.40000000000000036,0.019999999999999574,-0.2599999999999998,-0.16999999999999993,-0.47000000000000064,-0.5,-0.06666666666666665,0.2060439560439561,10.437999999999999,10.52,10.59,10.6045,11.486333333333334,10.586826388530099,10.586826388530099,10.586826388530099,10.586826388530099,10.586826388530099,50.0,-0.6343241285703396,-0.735123940851296,-3.0621172353458115,0.010842885924707706,0.028034702117980526,0.04598511324182344,0.0,0.0008239574246400624,0.4800000000000004,0.5899999999999999,0.10999999999999943,0.5899999999999999,0.4447619047619044,-8292392.0,12.779579793527036,10.800777106783382,9.899222893216617,-1.87
2004-09-15,10.49,11.39,10.37,11.13,10.49,3472837,38297276.4,6.1,3.96,-3.63,-0.28,0.38,-2.37,0.6400000000000006,1.040000000000001,0.41000000000000014,0.4300000000000015,0.4300000000000015,-0.33333333333333337,-0.033333333333333326,0.20879120879120883,10.52,10.581428571428573,10.633000000000001,10.619,11.369666666666667,10.677355323775084,10.677355323775084,10.677355323775084,10.677355323775084,10.677355323775084,65.4285714285714,-0.5466448480449717,-0.6974281222900311,166.66666666666632,0.0,0.05922174287924768,0.08231335505088498,-0.011505400166769991,0.0017281930836794295,1.0200000000000014,0.9000000000000004,0.120000000000001,1.0200000000000014,0.4738095238095235,-4819555.0,12.706233360712297,11.619190163888316,9.520809836111685,3.89
2004-09-16,11.25,11.68,11.1,11.51,11.13,4714240,53876444.61,3.41,6.1,3.96,-2.8,0.47,1.87,0.379999999999999,1.0199999999999996,1.0899999999999999,0.7599999999999998,0.6099999999999994,-0.16666666666666669,0.0,0.21153846153846156,10.738,10.69,10.693999999999999,10.650500000000001,11.26,10.816129436479237,10.816129436479237,10.816129436479237,10.816129436479237,10.816129436479237,65.12968299711812,-0.44140729380948684,-0.6462239565939224,122.85456187895214,0.010723963362975642,0.022848094083362108,0.0375098487496518,-0.013423020332140774,0.001838044947987991,0.5800000000000001,0.5499999999999989,0.030000000000001137,0.5800000000000001,0.47857142857142826,-105315.0,12.638141303212693,12.074319915851895,10.012346750814775,-4.62
2004-09-17,11.51,11.94,11.25,11.9,11.51,3442061,39812399.15,3.39,3.41,6.1,0.48,-0.28,-2.2,0.39000000000000057,0.7699999999999996,1.4299999999999997,1.1799999999999997,1.2400000000000002,0.0,0.033333333333333326,0.2142857142857143,11.024000000000001,10.858571428571429,10.818000000000001,10.697999999999999,11.166,10.996774530399364,10.996774530399364,10.996774530399364,10.996774530399364,10.996774530399364,64.8255813953488,-0.32281482489211655,-0.5815421302535613,101.01836697581365,0.0,0.033322177383692406,0.03667788523066478,-0.022848094083362122,0.0011877399745685241,0.6899999999999995,0.4299999999999997,0.2599999999999998,0.6899999999999995,0.4928571428571425,3336746.0,12.608687447051853,12.283354978050731,10.743311688615936,0.73
2004-09-20,12.0,12.27,11.76,12.18,11.9,3673137,44164869.55,2.35,3.39,3.41,-3.63,-2.8,0.38,0.27999999999999936,0.6699999999999999,2.09,1.7599999999999998,1.4800000000000004,-0.6666666666666666,0.1333333333333333,0.22252747252747251,11.442,11.11,10.966,10.794,11.114333333333333,11.193978775332804,11.193978775332804,11.193978775332804,11.193978775332804,11.193978775332804,66.75824175824172,-0.2038855136332991,-0.5060108069295088,101.4492753623187,0.00836824967051658,0.014888612493750559,0.022250608934819723,-0.020202707317519466,0.0010986521277742192,0.5099999999999998,0.3699999999999992,0.14000000000000057,0.5099999999999998,0.4985714285714283,7009883.0,12.591178825317147,12.536336552741146,11.190330113925517,-1.36
2004-09-21,12.25,12.59,11.88,12.32,12.18,3513005,42979260.81,1.15,2.35,3.39,3.96,0.48,0.47,0.14000000000000057,0.41999999999999993,1.83,1.8499999999999996,1.5700000000000003,-0.5,0.16666666666666663,0.22527472527472525,11.808,11.374285714285715,11.123000000000001,10.889,11.068000000000001,11.381648979444003,11.381648979444003,11.381648979444003,11.381648979444003,11.381648979444003,73.01136363636363,-0.09721570551162273,-0.4242517866459316,98.81602914389805,0.0057306747089850745,0.005698021114637796,0.027376911065519698,-0.03066962305623704,0.0011964789723191301,0.7099999999999991,0.41000000000000014,0.29999999999999893,0.7099999999999991,0.4966666666666663,10522888.0,12.580984295297428,12.56104039819581,11.705626268470855,0.74
2004-09-22,12.23,12.5,12.1,12.3,12.32,3153655,38825985.92,-0.16,1.15,2.35,6.1,-3.63,-0.28,-0.019999999999999574,0.120000000000001,1.17,2.210000000000001,1.58,-0.33333333333333337,0.19999999999999996,0.228021978021978,12.042,11.69,11.281,10.9795,11.044,11.534707482870004,11.534707482870004,11.534707482870004,11.534707482870004,11.534707482870004,70.95808383233532,-0.014130064327840586,-0.34222744218231343,74.61406518010332,-0.007332008406292685,0.005707312679290873,0.02183669460917445,-0.010686497096385595,0.0011158642071546474,0.40000000000000036,0.17999999999999972,0.22000000000000064,0.40000000000000036,0.49238095238095203,7369233.0,12.571811234944901,12.41810422255448,12.115229110778856,10.04
2004-09-23,12.26,12.38,11.76,12.13,12.3,2438726,29298785.47,-1.38,-0.16,1.15,3.41,3.96,-2.8,-0.16999999999999993,-0.1899999999999995,0.620000000000001,1.6400000000000006,1.7100000000000009,-0.16666666666666669,0.23333333333333328,0.23076923076923073,12.166,11.924285714285714,11.452000000000002,11.083499999999999,11.021666666666667,11.63392290239167,11.63392290239167,11.63392290239167,11.63392290239167,11.63392290239167,72.47706422018348,0.03756529630706318,-0.2662688944844381,2.491694352160288,-0.0032573318703065105,-0.010660207552106523,0.009740336748384804,-0.041637988037584464,0.0009478114247134567,0.620000000000001,0.08000000000000007,0.5400000000000009,0.620000000000001,0.503333333333333,4930507.0,12.560932209630261,12.45880613017807,12.04119386982193,1.49
2004-09-24,12.22,12.7,11.7,11.7,12.13,3647395,45179246.15,-3.54,-1.38,-0.16,3.39,6.1,0.48,-0.4300000000000015,-0.6000000000000014,-0.20000000000000107,0.5699999999999985,1.2299999999999986,0.0,0.2666666666666667,0.23351648351648346,12.126,12.005714285714285,11.575,11.145500000000002,10.996666666666666,11.644935751993058,11.644935751993058,11.644935751993058,11.644935751993058,11.644935751993058,63.66120218579234,0.0433372706357531,-0.20434766146039987,-75.44757033248148,0.007392230787490517,-0.04348511193973889,0.03852803972109623,-0.04348511193973889,0.002241016227907248,1.0,0.5699999999999985,0.4300000000000015,1.0,0.5276190476190473,1283112.0,12.530352353165732,12.661826124991638,11.424840541675032,0.33
2004-09-27,12.01,12.19,11.58,11.63,11.7,1598504,18967428.87,-0.6,-3.54,-1.38,2.35,3.41,-3.63,-0.06999999999999851,-0.5,-0.5499999999999989,0.120000000000001,1.540000000000001,-0.6666666666666666,0.3666666666666667,0.2417582417582418,12.016,12.022857142857145,11.729000000000001,11.183,11.004999999999999,11.642446459994215,11.642446459994215,11.642446459994215,11.642446459994215,11.642446459994215,61.956521739130444,0.041781555131043646,-0.15512181814211118,-134.41832429174173,0.026150794288181862,-0.032151669561319055,0.014876307401287934,-0.03646016394704293,0.002031893468036579,0.6099999999999994,0.4900000000000002,0.11999999999999922,0.6099999999999994,0.5276190476190473,-315392.0,12.516551642399614,12.36147945482719,11.27852054517281,0.49
