date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2010-01-08,35.97,36.19,34.83,35.74,35.97,2627445,93269977.89,-0.6394,-3.4622,-2.179,0.7515,0.0,2.8685,-0.22999999999999687,-1.519999999999996,-1.7999999999999972,-0.8599999999999994,-0.4799999999999969,0.0,-0.26666666666666666,-0.4807692307692308,36.916,37.05428571428571,36.856,37.307,38.942,36.92585033529527,36.92585033529527,36.92585033529527,36.92585033529527,36.92585033529527,43.22580645161291,-0.7509154390369517,-0.6849504221799638,-115.16111991547834,0.0,-0.006414747976250503,0.006097579868118538,-0.03220617332962279,0.0005847556420734777,1.3599999999999994,0.21999999999999886,1.1400000000000006,1.3599999999999994,1.57095238095238,17284714.0,40.106560066340386,37.96190995141771,34.68475671524895,0.0
2010-01-11,35.78,36.59,35.01,36.55,35.74,2846409,102390766.83,2.2664,-0.6394,-3.4622,-0.0533,1.8033,-0.6626,0.8099999999999952,0.5799999999999983,-0.970000000000006,-0.7100000000000009,0.5700000000000003,-0.6666666666666666,-0.16666666666666669,-0.4725274725274725,36.722,36.95285714285715,36.913,37.111,38.892,36.863208612746064,36.863208612746064,36.863208612746064,36.863208612746064,36.863208612746064,45.84615384615383,-0.7304816584726339,-0.694056669438498,-51.98935924126761,0.0011185683492910977,0.02129210811521424,0.02238590095054237,-0.02175534311399885,0.0008914954513975879,1.5800000000000054,0.8500000000000014,0.730000000000004,1.5800000000000054,1.5533333333333328,20131123.0,40.0605997514606,36.92149199769875,35.25184133563458,1.6281
2010-01-12,36.35,38.29,36.16,38.0,36.55,4796812,180901740.0,3.9672,2.2664,-0.6394,1.5192,0.7515,1.7232,1.4500000000000028,2.259999999999998,-0.09000000000000341,0.46000000000000085,1.3999999999999986,-0.5,-0.13333333333333336,-0.4697802197802198,36.704,37.01857142857143,37.053000000000004,37.0515,38.782666666666664,37.052673843955056,37.052673843955056,37.052673843955056,37.052673843955056,37.052673843955056,69.40211019929662,-0.590478193261589,-0.6733409742031162,81.4745972738535,-0.00548698221625897,0.0443919557468574,0.05199456150967464,-0.005240668455552783,0.0007876028898700381,2.1300000000000026,1.740000000000002,0.39000000000000057,2.1300000000000026,1.5533333333333328,24927935.0,40.01668144906983,39.05334061134204,34.47332605532462,-1.602
2010-01-13,37.3,38.63,37.19,38.05,38.0,4166885,158544573.47,0.1316,3.9672,2.2664,-2.179,-0.0533,0.0,0.04999999999999716,1.5,0.7899999999999991,0.529999999999994,1.4499999999999957,-0.33333333333333337,-0.09999999999999998,-0.46703296703296704,36.861999999999995,37.09428571428572,37.198,36.939,38.70366666666666,37.21889486996255,37.21889486996255,37.21889486996255,37.21889486996255,37.21889486996255,67.61786600496276,-0.4700711684579275,-0.6326870130540785,102.54329004329033,-0.01859283307661597,0.01990775765792489,0.03503585002842013,-0.0029534187127911167,0.0006867581329057942,1.4400000000000048,0.6300000000000026,0.8100000000000023,1.4400000000000048,1.5214285714285711,29094820.0,39.98093132553939,39.237250389217486,35.82941627744918,3.9132
2010-01-14,38.22,38.76,37.82,38.37,38.05,3916534,150099385.76,0.841,0.1316,3.9672,-3.4622,1.5192,1.8033,0.3200000000000003,0.36999999999999744,2.3999999999999986,0.27999999999999403,1.1099999999999994,-0.16666666666666669,-0.06666666666666665,-0.4642857142857143,37.342,37.13428571428572,37.309000000000005,36.9405,38.633,37.41074572496879,37.41074572496879,37.41074572496879,37.41074572496879,37.41074572496879,64.58616010854817,-0.34485117844414503,-0.5751198461320918,81.85665167944997,0.004457854504432162,0.003916965446733894,0.014029848210438485,-0.010520875581815537,0.0006864321233554006,0.9399999999999977,0.7100000000000009,0.22999999999999687,0.9399999999999977,1.482380952380952,33011354.0,39.95386973171876,38.541497197997224,37.73850280200278,-2.9962
2010-01-15,38.4,38.88,37.98,38.33,38.37,3238384,124109536.43,-0.1042,0.841,0.1316,-0.6394,-2.179,0.7515,-0.03999999999999915,0.28000000000000114,2.5899999999999963,1.0700000000000003,0.7899999999999991,0.0,-0.033333333333333326,-0.46153846153846156,37.86,37.287142857142854,37.388,36.916999999999994,38.46666666666667,37.56395477080733,37.56395477080733,37.56395477080733,37.56395477080733,37.56395477080733,66.38772663877268,-0.24600530389267306,-0.509296937684208,72.08237986270088,0.0007815553348200886,-0.00182458020121746,0.012422519998557329,-0.010997754209541398,0.00027148210112889326,0.9000000000000057,0.5100000000000051,0.39000000000000057,0.9000000000000057,1.4242857142857142,29772970.0,39.931623158245465,38.59871191548272,37.90128808451727,1.2468
2010-01-18,38.35,38.96,38.1,38.52,38.33,3067561,118447084.51,0.4957,-0.1042,0.841,2.2664,-3.4622,-0.0533,0.19000000000000483,0.15000000000000568,1.970000000000006,2.5500000000000043,1.0,-0.6666666666666666,0.06666666666666665,-0.4532967032967033,38.254,37.651428571428575,37.488,36.993,38.22233333333333,37.723295642339444,37.723295642339444,37.723295642339444,37.723295642339444,37.723295642339444,64.24332344213653,-0.15060178048177164,-0.43755790624372076,78.2585470085469,0.0005216484208015447,0.004423059116659714,0.01578095096106918,-0.0065402456806098784,0.0002452540735117894,0.8599999999999994,0.6300000000000026,0.22999999999999687,0.8599999999999994,1.4042857142857144,32840531.0,39.91353909730459,38.60699972268331,38.20633361065002,3.2746
2010-01-19,38.52,38.77,37.15,37.2,38.52,4076177,153347473.17,-3.4268,0.4957,-0.1042,3.9672,-0.6394,1.5192,-1.3200000000000003,-1.1299999999999955,-0.7999999999999972,1.4600000000000009,-0.8900000000000006,-0.5,0.09999999999999998,-0.45054945054945056,38.094,37.86,37.398999999999994,36.985,37.95066666666666,37.63607970194954,37.63607970194954,37.63607970194954,37.63607970194954,37.63607970194954,53.72208436724567,-0.1794383159235764,-0.3859339881796919,-113.18051575930976,0.0,-0.034868825650823936,0.006469164752912944,-0.036213815766156704,0.0003219323596954253,1.6200000000000045,0.25,1.3700000000000045,1.6200000000000045,1.3723809523809527,28764354.0,39.868119601665065,39.44387840054954,36.5894549327838,-0.7317
2010-01-20,37.28,37.58,35.5,35.6,37.2,2997027,109055064.8,-4.3011,-3.4268,0.4957,0.1316,2.2664,-2.179,-1.6000000000000014,-2.9200000000000017,-2.4499999999999957,-0.9499999999999957,-1.6599999999999966,-0.33333333333333337,0.1333333333333333,-0.4478021978021978,37.604,37.72428571428571,37.233,37.0305,37.69066666666666,37.29673308495795,37.29673308495795,37.29673308495795,37.29673308495795,37.29673308495795,40.7777777777778,-0.3276214896637626,-0.37427148847650604,-154.37788018433247,0.002148228538289605,-0.04611135195940569,0.008015004167928845,-0.048924293336020316,0.00041627848326502876,2.0799999999999983,0.37999999999999545,1.7000000000000028,2.0799999999999983,1.4233333333333338,25767327.0,39.81623143961557,40.0311381288856,34.18219520444774,-3.4944
2010-01-21,35.6,36.35,35.5,35.89,35.6,1519750,54625597.11,0.8146,-4.3011,-3.4268,0.841,3.9672,-3.4622,0.28999999999999915,-1.3100000000000023,-2.479999999999997,-2.1099999999999994,-0.0799999999999983,-0.16666666666666669,0.16666666666666663,-0.44505494505494503,37.108000000000004,37.42285714285714,37.225,37.064499999999995,37.50366666666666,37.062277570798294,37.062277570798294,37.062277570798294,37.062277570798294,37.062277570798294,40.84350721420644,-0.4168519364440897,-0.3827875780700228,-93.50121149186543,0.0,0.008113067301531107,0.020848566121543514,-0.0028129413766147236,0.0005173395626911462,0.8500000000000014,0.75,0.10000000000000142,0.8500000000000014,1.3085714285714292,27287077.0,39.79217562791902,37.934934016318415,34.52506598368159,-0.6506
