date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2010-04-27,64.1,64.1,60.0,61.7,64.5,1319778,81293652.41,-4.3411,2.381,-1.7161,-1.086,0.7036,-5.9016,-2.799999999999997,-1.2999999999999972,2.5,1.5900000000000034,-1.5999999999999943,-0.5,0.3666666666666667,-0.18131868131868134,63.30799999999999,62.22714285714285,61.86900000000001,64.311,62.781,62.84358653888986,62.84358653888986,62.84358653888986,62.84358653888986,62.84358653888986,33.26612903225805,0.17835644261371186,0.4726781258467281,-81.86101295641932,-0.006220859875102506,-0.038160433015282054,0.0,-0.06609980170452358,0.0013613299719051869,4.099999999999994,0.4000000000000057,4.5,4.5,3.446190476190478,16799962.0,62.059601083356235,65.86904660759762,60.264286725735694,0.0
2010-04-28,60.42,61.68,59.68,60.83,61.7,829713,50448345.98,-1.41,-4.3411,2.381,6.8243,-0.4325,0.0,-0.8700000000000045,-3.6700000000000017,-2.4100000000000037,0.9799999999999969,-2.469999999999999,-0.33333333333333337,0.4,-0.17857142857142855,62.826,62.36714285714286,61.622,64.0275,62.842,62.50798878240822,62.50798878240822,62.50798878240822,62.50798878240822,62.50798878240822,38.35425383542536,0.0022719271602369417,0.3785968861094299,-113.39862749017253,-0.02096375495281626,0.0067629123740880525,0.02063955329654814,-0.012323220063020585,0.0012791539439319687,2.0,0.020000000000003126,2.020000000000003,2.020000000000003,3.3733333333333357,15970249.0,62.04683069824247,66.17876464328168,58.50790202338498,0.8736
2010-04-29,61.24,61.6,58.06,58.22,60.83,664651,39948192.34,-4.2906,-1.41,-4.3411,1.3599,-1.086,-5.703,-2.6099999999999994,-3.480000000000004,-5.8799999999999955,-0.980000000000004,-1.4699999999999989,-0.16666666666666669,0.43333333333333335,-0.1758241758241758,61.65,62.22714285714286,61.475,63.6385,62.800666666666665,61.79332398534019,61.79332398534019,61.79332398534019,61.79332398534019,61.79332398534019,30.87979094076654,-0.3439170456555658,0.23409409975643078,-110.61588330632088,0.006717482456869123,-0.05057163247200588,0.005861299749990972,-0.05332361219299917,0.0009723154816574605,3.539999999999999,0.7700000000000031,2.769999999999996,3.539999999999999,3.3471428571428583,15305598.0,62.01525546701592,63.87209883907086,56.62790116092914,2.0638
2010-04-30,57.88,59.29,56.0,59.29,58.22,593570,34124791.16,1.8379,-4.2906,-1.41,-1.7161,6.8243,0.7036,1.0700000000000003,-1.5399999999999991,-3.710000000000001,-3.950000000000003,-0.8200000000000003,0.0,0.4666666666666667,-0.17307692307692307,60.908,61.66285714285714,61.392999999999994,63.289,62.82,61.37610332111682,61.37610332111682,61.37610332111682,61.37610332111682,61.37610332111682,33.2070707070707,-0.5258723144354036,0.08210081691806391,-100.61957868649309,-0.005857036554194003,0.024068755955993122,0.024068755955993122,-0.03302021102813389,0.001386043832300233,3.289999999999999,1.0700000000000003,2.219999999999999,3.289999999999999,3.3990476190476206,15899168.0,61.99532101157163,62.07073475521385,56.82259857811948,-3.8274
2010-05-04,58.0,60.5,56.35,59.93,59.29,358807,21406612.91,1.0794,1.8379,-4.2906,2.381,1.3599,-0.4325,0.6400000000000006,1.7100000000000009,-4.57,-4.169999999999995,0.0799999999999983,-0.5,-0.4,-0.16208791208791207,59.99400000000001,61.067142857142855,61.400999999999996,62.993500000000004,62.96366666666667,61.13508610093069,61.13508610093069,61.13508610093069,61.13508610093069,61.13508610093069,41.75232501223691,-0.6113828832579529,-0.05659592311713946,-48.838572580053764,-0.02199764717285701,0.03273420392367452,0.04220035449037647,-0.028860770060634058,0.002005202363793243,4.149999999999999,1.2100000000000009,2.9399999999999977,4.149999999999999,3.35857142857143,16257975.0,61.986229049579535,60.874594134279704,57.41873919905363,-7.7342
2010-05-05,59.6,61.44,59.4,61.32,59.93,515105,31287135.15,2.3194,1.0794,1.8379,-4.3411,-1.7161,-1.086,1.3900000000000006,2.030000000000001,-0.38000000000000256,-1.6799999999999997,2.1199999999999974,-0.33333333333333337,-0.3666666666666667,-0.15934065934065933,59.91799999999999,60.82714285714285,61.613,62.584500000000006,63.13,61.165905084108914,61.165905084108914,61.165905084108914,61.165905084108914,61.165905084108914,45.462878093492215,-0.56052782597353,-0.15738230368841757,82.97174814386328,-0.005521640398789729,0.028450479932309335,0.030405514768112544,-0.003361347702704883,0.0012164148925555745,2.039999999999999,1.509999999999998,0.5300000000000011,2.039999999999999,3.332857142857143,16773080.0,61.98204504217777,62.25566856699194,58.104331433008056,2.1363
2010-05-06,61.22,61.4,60.0,60.03,61.32,552668,33514226.69,-2.1037,2.3194,1.0794,-1.41,2.381,6.8243,-1.2899999999999991,0.10000000000000142,-0.7999999999999972,-4.469999999999999,-3.210000000000001,-0.16666666666666669,-0.33333333333333337,-0.1565934065934066,59.758,60.18857142857143,61.291999999999994,62.086,63.276666666666664,60.97658757009076,60.97658757009076,60.97658757009076,60.97658757009076,60.97658757009076,50.87179487179488,-0.6172023215373201,-0.2493463072581981,73.91349230927985,-0.0016321204863469572,-0.01962949625351471,0.00293590163583032,-0.020129371295165756,0.00020995107776153744,1.3999999999999986,0.0799999999999983,1.3200000000000003,1.3999999999999986,3.1661904761904767,16220412.0,61.96898000161385,61.97719345886722,58.87613987446612,0.8566
2010-05-07,58.13,60.74,58.13,60.28,60.03,502769,30073485.46,0.4165,-2.1037,2.3194,-4.2906,-4.3411,1.3599,0.25,-1.0399999999999991,2.0600000000000023,-1.4200000000000017,-3.819999999999993,0.0,-0.3,-0.15384615384615385,60.169999999999995,59.98571428571428,60.910000000000004,61.80799999999999,63.24633333333333,60.8604896417423,60.8604896417423,60.8604896417423,60.8604896417423,60.8604896417423,50.4397309881014,-0.6346287517193474,-0.326402796150428,8.757961783439994,-0.032162555550492564,0.03631849204503543,0.04392057790434342,0.0,0.0007776966089421601,2.6099999999999994,0.7100000000000009,1.8999999999999986,2.6099999999999994,3.1580952380952385,16723181.0,61.95875853219738,61.91159256802965,59.17507409863701,0.0593
2010-05-10,61.58,61.58,55.2,56.6,60.28,692814,39599281.04,-6.1048,0.4165,-2.1037,1.8379,-1.41,-1.7161,-3.6799999999999997,-3.4299999999999997,-2.6899999999999977,-4.229999999999997,-6.399999999999999,-0.6666666666666666,-0.2,-0.1456043956043956,59.63199999999999,59.38142857142857,60.27,61.288,63.05366666666667,60.150408034785244,60.150408034785244,60.150408034785244,60.150408034785244,60.150408034785244,42.857142857142854,-0.934610954833822,-0.44804442788710686,-123.80952380952377,0.021336768738059553,-0.08432815728721704,0.0,-0.10937418921330463,0.0034174965126746205,6.3799999999999955,1.2999999999999972,5.079999999999998,6.3799999999999955,3.261904761904762,16030367.0,61.91443907608198,63.08256610889093,54.85743389110908,0.5922
2010-05-11,57.2,58.0,52.82,53.0,56.6,587590,32615202.3,-6.3604,-6.1048,0.4165,1.0794,-4.2906,2.381,-3.6000000000000014,-7.280000000000001,-6.93,-5.219999999999999,-11.5,-0.5,-0.16666666666666669,-0.14285714285714285,58.246,58.635714285714286,59.120000000000005,60.5745,62.688,58.958673362321036,58.958673362321036,58.958673362321036,58.958673362321036,58.958673362321036,37.93774319066147,-1.4461683965350858,-0.6476692216167026,-137.24959393611263,0.01054491317661504,-0.07626198483363039,0.013889112160667093,-0.07966399151676606,0.002025078124274234,5.18,1.3999999999999986,3.780000000000001,5.18,3.3961904761904758,15442777.0,61.852345548487136,63.90681318533861,49.34652014799472,-0.2159
2010-05-12,51.55,52.05,47.8,48.93,53.0,863173,42933506.47,-7.6792,-6.3604,-6.1048,2.3194,1.8379,-4.3411,-4.07,-7.670000000000002,-12.39,-10.36,-12.770000000000003,-0.33333333333333337,-0.13333333333333336,-0.1401098901098901,55.767999999999994,57.15571428571429,57.842999999999996,59.855999999999995,62.154999999999994,57.2872278019342,57.2872278019342,57.2872278019342,57.2872278019342,57.2872278019342,22.19199378157792,-2.155153077109752,-0.9491659927153124,-131.49400553335374,-0.027739703089152953,-0.052161505161936676,0.009652584598008973,-0.07552657096555863,0.002545692776437475,4.25,0.9500000000000028,5.200000000000003,5.200000000000003,3.5423809523809515,14579604.0,61.721458752127546,60.518131919181094,45.16853474748557,-2.1632
