date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2019-10-14,4.22,4.24,4.19,4.22,4.19,75330751,317875345.48,0.716,0.0,1.699,-0.7092,-2.0882,-2.9817,0.02999999999999936,0.02999999999999936,0.019999999999999574,0.0,-0.010000000000000675,-0.6666666666666666,-0.06666666666666665,0.2857142857142857,4.172,4.184285714285714,4.229,4.365,4.440666666666667,4.24282862950116,4.24282862950116,4.24282862950116,4.24282862950116,4.24282862950116,37.89473684210523,-0.016630867878175692,0.029100240150179174,101.85185185185082,0.007134394113873891,0.0,0.004728141195946116,-0.007134394113873868,0.00013458697300019768,0.04999999999999982,0.04999999999999982,0.0,0.04999999999999982,0.11285714285714282,-65364317.0,4.732588376083576,4.234641016151263,4.165358983848737,0.831
2019-10-15,4.21,4.22,4.15,4.16,4.22,61814233,257537196.57,-1.4218,0.716,0.0,-1.4286,0.237,5.6738,-0.05999999999999961,-0.03000000000000025,0.020000000000000462,-0.07000000000000028,-0.3099999999999996,-0.5,-0.033333333333333326,0.28846153846153844,4.176,4.174285714285714,4.198,4.3345,4.459666666666666,4.229023857917634,4.229023857917634,4.229023857917634,4.229023857917634,4.229023857917634,38.709677419354826,-0.022613619312509492,0.018757468257641442,3.4013605442195365,-0.0023724803536303565,-0.011947573421118062,0.0023724803536303955,-0.014354313451683054,0.00011611628912820755,0.0699999999999994,0.0,0.0699999999999994,0.0699999999999994,0.10999999999999995,-127178550.0,4.726929419645774,4.2499999999999325,4.130000000000068,-1.9231
2019-10-16,4.17,4.19,4.11,4.12,4.16,49628719,205569879.56,-0.9615,-1.4218,0.716,-0.4831,-0.7092,-3.5794,-0.040000000000000036,-0.09999999999999964,0.0,-0.08000000000000007,-0.1899999999999995,-0.33333333333333337,0.0,0.2912087912087912,4.176,4.162857142857143,4.179,4.3045,4.465333333333334,4.210853214931362,4.210853214931362,4.210853214931362,4.210853214931362,4.210853214931362,36.458333333333336,-0.030234138307356773,0.0089591469446418,-149.75845410627716,0.0024009615375380463,-0.012062872449274984,0.004784698123336473,-0.014493007302566752,9.634807120689867e-05,0.08000000000000007,0.03000000000000025,0.04999999999999982,0.08000000000000007,0.11095238095238091,-176807269.0,4.722151441767433,4.267331125803568,4.066002207529766,-0.8403
2019-10-17,4.12,4.13,4.08,4.09,4.12,47577886,195023975.75,-0.7281,-0.9615,-1.4218,1.699,-1.4286,-2.0882,-0.03000000000000025,-0.07000000000000028,-0.10000000000000053,-0.04999999999999982,-0.1299999999999999,-0.16666666666666669,0.033333333333333326,0.2939560439560439,4.156000000000001,4.155714285714286,4.1659999999999995,4.2785,4.456666666666667,4.190711012442802,4.190711012442802,4.190711012442802,4.190711012442802,4.190711012442802,36.082474226804095,-0.03825324420580056,-0.0004833312854466733,-121.21212121212012,0.0,-0.0073081933067247525,0.0024242436115062545,-0.009756174945364685,7.902462584738441e-05,0.04999999999999982,0.009999999999999787,0.040000000000000036,0.04999999999999982,0.11047619047619045,-224385155.0,4.717416290993629,4.1935710250189535,4.053095641647714,-1.1299
2019-10-18,4.1,4.11,4.04,4.05,4.09,53127561,216180429.08,-0.978,-0.7281,-0.9615,0.0,-0.4831,0.237,-0.040000000000000036,-0.07000000000000028,-0.14000000000000057,-0.07000000000000028,-0.1800000000000006,0.0,0.06666666666666665,0.29670329670329665,4.128,4.145714285714286,4.148000000000001,4.254,4.4319999999999995,4.167259177035668,4.167259177035668,4.167259177035668,4.167259177035668,4.167259177035668,39.77272727272724,-0.047290968266338496,-0.009844858681625039,-107.84313725490188,0.0024420036555515873,-0.01227009259181436,0.0024360547978813426,-0.014742281737203319,5.9129231356737326e-05,0.07000000000000028,0.020000000000000462,0.04999999999999982,0.07000000000000028,0.1071428571428571,-277512716.0,4.711880154663983,4.156904358352284,4.01642897498105,-0.2857
2019-10-21,4.05,4.06,3.95,3.99,4.05,68160808,271014428.79,-1.4815,-0.978,-0.7281,0.716,1.699,-0.7092,-0.05999999999999961,-0.09999999999999964,-0.22999999999999954,-0.20000000000000018,-0.20999999999999996,-0.6666666666666666,0.16666666666666663,0.30494505494505497,4.082,4.117142857142857,4.127,4.2245,4.392333333333334,4.137715980863057,4.137715980863057,4.137715980863057,4.137715980863057,4.137715980863057,15.71428571428575,-0.05861920257853992,-0.019599727461008014,-127.19298245613965,0.0,-0.014925650216675593,0.0024660924951934683,-0.025001302205417155,0.00017241218636401853,0.10999999999999943,0.009999999999999787,0.09999999999999964,0.10999999999999943,0.10761904761904753,-345673524.0,4.70427877248859,4.143997792470227,3.942668874196441,-0.5731
2019-10-22,3.98,3.99,3.95,3.99,3.99,41995321,166741824.85,0.0,-1.4815,-0.978,-1.4218,0.0,-1.4286,0.0,-0.05999999999999961,-0.16999999999999993,-0.20000000000000018,-0.14999999999999947,-0.5,0.19999999999999996,0.3076923076923077,4.048,4.088571428571428,4.112,4.2015,4.363666666666666,4.113096650719214,4.113096650719214,4.113096650719214,4.113096650719214,4.113096650719214,20.370370370370424,-0.06682657473107856,-0.029045096915022123,-97.56097560975584,-0.002509411605425807,0.002509411605425707,0.002509411605425707,-0.007566240383315813,0.0001860367248214374,0.040000000000000036,0.0,0.040000000000000036,0.040000000000000036,0.10476190476190468,-345673524.0,4.699674586130017,4.079282032302678,3.9407179676973216,1.1527
2019-10-23,3.99,3.99,3.95,3.96,3.99,39683853,157247720.14,-0.7519,0.0,-1.4815,-0.9615,0.716,-0.4831,-0.03000000000000025,-0.03000000000000025,-0.16000000000000014,-0.2599999999999998,-0.16000000000000014,-0.33333333333333337,0.23333333333333328,0.31043956043956045,4.016,4.051428571428572,4.096,4.181,4.3340000000000005,4.087580542266012,4.087580542266012,4.087580542266012,4.087580542266012,4.087580542266012,22.916666666666714,-0.07488845804453703,-0.038213769140925107,-75.18115942028987,0.0,-0.007547205635382966,0.0,-0.010075651988741587,5.398132550179551e-05,0.040000000000000036,0.0,0.040000000000000036,0.040000000000000036,0.09999999999999994,-385357377.0,4.695196407087729,4.014641016151219,3.9453589838487817,0.0
2019-10-24,3.97,4.1,3.94,4.0,3.96,91287957,366789090.6,1.0101,-0.7519,0.0,-0.7281,-1.4218,1.699,0.040000000000000036,0.009999999999999787,-0.08999999999999986,-0.16000000000000014,-0.1900000000000004,-0.16666666666666669,0.2666666666666667,0.3131868131868132,3.9979999999999998,4.0285714285714285,4.077,4.162,4.308666666666667,4.072983785221677,4.072983785221677,4.072983785221677,4.072983785221677,4.072983785221677,27.450980392156808,-0.0771604354776505,-0.046003102408270186,20.440251572324993,0.002522069432709939,0.007528266420791588,0.032220879011162995,-0.007585371389256612,0.0004432974318630185,0.1599999999999997,0.13999999999999968,0.020000000000000018,0.1599999999999997,0.10238095238095234,-294069420.0,4.685647334312246,4.024966653322523,3.941700013344142,0.2849
2019-10-25,3.98,3.99,3.95,3.98,4.0,46627011,184920536.43,-0.5,1.0101,-0.7519,-0.978,-0.9615,0.0,-0.020000000000000018,0.020000000000000018,-0.06999999999999984,-0.14000000000000012,-0.2100000000000004,0.0,0.30000000000000004,0.3159340659340659,3.9840000000000004,4.008571428571428,4.056,4.143,4.2796666666666665,4.057486487684731,4.057486487684731,4.057486487684731,4.057486487684731,4.057486487684731,27.999999999999957,-0.07965659517051549,-0.05273380096071925,-51.07526881720447,-0.005012541823544286,0.0,0.002509411605425707,-0.007566240383315813,0.0004793634028937745,0.040000000000000036,0.009999999999999787,0.04999999999999982,0.04999999999999982,0.10190476190476183,-340696431.0,4.680731138310896,4.019999999999862,3.940000000000138,0.2841
2019-10-28,3.98,4.05,3.97,4.02,3.98,54634857,219494548.68,1.005,-0.5,1.0101,-1.4815,-0.7281,0.716,0.03999999999999959,0.019999999999999574,0.02999999999999936,-0.07000000000000028,-0.20000000000000018,-0.6666666666666666,0.4,0.32417582417582413,3.9899999999999998,3.998571428571428,4.036,4.1325,4.255333333333334,4.0512387397372756,4.0512387397372756,4.0512387397372756,4.0512387397372756,4.0512387397372756,37.49999999999995,-0.07751362518435023,-0.05768976580544545,83.33333333333447,0.0,0.010000083334583179,0.017435061822101347,-0.002515724597247247,0.00012001021507392342,0.07999999999999963,0.06999999999999984,0.009999999999999787,0.07999999999999963,0.10380952380952371,-286061574.0,4.6753809687700185,4.039999999999865,3.9600000000001354,-0.2833
2019-10-29,4.02,4.02,3.96,3.96,4.02,49632932,197717587.21,-1.4925,1.005,-0.5,0.0,-0.978,-1.4218,-0.05999999999999961,-0.020000000000000018,-0.03000000000000025,-0.08999999999999986,-0.20000000000000018,-0.5,0.43333333333333335,0.32692307692307687,3.9839999999999995,3.9857142857142853,4.016,4.107,4.2283333333333335,4.036032283114396,4.036032283114396,4.036032283114396,4.036032283114396,4.036032283114396,34.615384615384556,-0.07973763872585149,-0.062099340389526664,-32.40740740740734,0.0,-0.015037877364540446,0.0,-0.015037877364540446,9.880280686724601e-05,0.05999999999999961,0.0,0.05999999999999961,0.05999999999999961,0.09952380952380939,-335694506.0,4.670157039510441,4.047767675932654,3.9255656574006785,1.7045
2019-10-30,3.95,3.96,3.86,3.86,3.96,72691605,283040519.91,-2.5253,-1.4925,1.005,-0.7519,-1.4815,-0.9615,-0.10000000000000009,-0.1599999999999997,-0.10000000000000009,-0.13000000000000034,-0.26000000000000023,-0.33333333333333337,0.4666666666666667,0.3296703296703297,3.9639999999999995,3.967142857142857,3.9899999999999998,4.0845,4.199666666666666,4.006693569261997,4.006693569261997,4.006693569261997,4.006693569261997,4.006693569261997,19.999999999999872,-0.08854861641533684,-0.0673891955946887,-163.97849462365664,-0.0025284463533586377,-0.02304839543629113,0.0025284463533586906,-0.02304839543629113,3.551172155675375e-05,0.10000000000000009,0.0,0.10000000000000009,0.10000000000000009,0.08428571428571416,-408386111.0,4.661584225659365,4.108324742039725,3.7850085912936065,-0.5587
2019-10-31,3.88,3.91,3.86,3.87,3.86,45566945,176557004.95,0.2591,-2.5253,-1.4925,1.0101,0.0,-0.7281,0.010000000000000231,-0.08999999999999986,-0.1299999999999999,-0.1200000000000001,-0.21999999999999975,-0.16666666666666669,0.5,0.33241758241758246,3.9379999999999997,3.95,3.968,4.067,4.175,3.983911307718331,3.983911307718331,3.983911307718331,3.983911307718331,3.983911307718331,21.42857142857133,-0.09364498222430395,-0.07264035292061174,-92.39130434782511,0.005167970158442598,-0.0025806465934916254,0.007702220362092303,-0.005167970158442561,0.00011848871941509871,0.050000000000000266,0.050000000000000266,0.0,0.050000000000000266,0.07857142857142846,-362819166.0,4.656368127674714,4.006818077612334,3.786515255720999,-0.8427
2019-11-01,3.86,3.87,3.81,3.86,3.87,48826589,187511627.09,-0.2584,0.2591,-2.5253,-0.5,-0.7519,-0.978,-0.010000000000000231,0.0,-0.1200000000000001,-0.10000000000000009,-0.18999999999999995,0.0,-0.5,0.3351648351648352,3.914,3.935714285714286,3.9489999999999994,4.0485,4.152333333333333,3.9632594230986093,3.9632594230986093,3.9632594230986093,3.9632594230986093,3.9632594230986093,16.666666666666643,-0.09736840293247617,-0.07758596292298464,-85.58558558558522,-0.0025873235649510238,0.0,0.0025873235649509544,-0.01303799433812983,0.00015441410393588135,0.06000000000000005,0.0,0.06000000000000005,0.06000000000000005,0.07476190476190467,-411645755.0,4.650784541107537,3.8748803387165873,3.8517863279500792,0.8499
2019-11-04,3.85,3.88,3.84,3.85,3.86,40276725,155240901.52,-0.2591,-0.2584,0.2591,1.005,1.0101,-1.4815,-0.009999999999999787,-0.020000000000000018,-0.16999999999999948,-0.1499999999999999,-0.14000000000000012,-0.6666666666666666,-0.4,0.3434065934065934,3.88,3.914285714285714,3.935,4.031000000000001,4.128,3.9443828525821747,3.9443828525821747,3.9443828525821747,3.9443828525821747,3.9443828525821747,18.367346938775484,-0.09997372225731249,-0.08206351478985022,-63.7254901960781,-0.0025940351770465356,0.0,0.007762005335489109,-0.0026007817000574785,0.00011230247960598887,0.040000000000000036,0.020000000000000018,0.020000000000000018,0.040000000000000036,0.0742857142857142,-451922480.0,4.646179767484523,3.8799999999996877,3.840000000000312,1.1236
2019-11-05,3.85,3.86,3.82,3.84,3.85,42382722,162636885.98,-0.2597,-0.2591,-0.2584,-1.4925,-0.5,0.0,-0.010000000000000231,-0.020000000000000018,-0.1200000000000001,-0.14000000000000012,-0.15000000000000036,-0.5,-0.3666666666666667,0.34615384615384615,3.8559999999999994,3.894285714285714,3.9200000000000004,4.016,4.107666666666666,3.9269857104851456,3.9269857104851456,3.9269857104851456,3.9269857104851456,3.9269857104851456,19.565217391304316,-0.10167334597611744,-0.08598548102710367,-83.33333333333334,0.0,-0.0026007817000574785,0.002594035177046528,-0.007822725681209156,5.954566632250136e-05,0.040000000000000036,0.009999999999999787,0.03000000000000025,0.040000000000000036,0.07380952380952374,-494305202.0,4.6413309124946664,3.869999999999685,3.8300000000003145,2.7778
2019-11-06,3.84,3.84,3.76,3.78,3.84,57706712,219560569.63,-1.5625,-0.2597,-0.2591,-2.5253,1.005,-0.7519,-0.06000000000000005,-0.07000000000000028,-0.08000000000000007,-0.23999999999999977,-0.18000000000000016,-0.33333333333333337,-0.33333333333333337,0.3489010989010989,3.84,3.86,3.9019999999999997,3.9989999999999997,4.088,3.902488092070955,3.902488092070955,3.902488092070955,3.902488092070955,3.902488092070955,18.367346938775484,-0.10663261417773295,-0.09011490765722953,-156.2499999999991,0.0,-0.015748356968139168,0.0,-0.02105340919783238,8.327548429670836e-05,0.08000000000000007,0.0,0.08000000000000007,0.08000000000000007,0.07333333333333328,-552011914.0,4.6343345427613025,3.8990521112772516,3.747614555389414,-0.5405
2019-11-07,3.77,3.78,3.74,3.75,3.78,45655296,171619960.58,-0.7937,-1.5625,-0.2597,0.2591,-1.4925,1.0101,-0.029999999999999805,-0.08999999999999986,-0.1200000000000001,-0.20999999999999996,-0.25,-0.16666666666666669,-0.3,0.3516483516483516,3.816,3.8299999999999996,3.877,3.9769999999999994,4.066999999999999,3.877073410059129,3.877073410059129,3.877073410059129,3.877073410059129,3.877073410059129,18.749999999999986,-0.1116960566242664,-0.0944311374506369,-118.32061068702322,-0.0026490081715768417,-0.005319161477599933,0.0026490081715768625,-0.00798939003347875,7.879708731314093e-05,0.03999999999999959,0.0,0.03999999999999959,0.03999999999999959,0.07095238095238084,-597667210.0,4.6286877464625675,3.8816515138990444,3.698348486100955,0.2717
2019-11-08,3.77,3.78,3.75,3.76,3.75,42462539,159888823.39,0.2667,-0.7937,-1.5625,-0.2584,-2.5253,-0.5,0.009999999999999787,-0.020000000000000018,-0.10000000000000009,-0.10000000000000009,-0.2200000000000002,0.0,-0.26666666666666666,0.35439560439560436,3.7960000000000003,3.815714285714286,3.8549999999999995,3.9555,4.047,3.857561175049274,3.857561175049274,3.857561175049274,3.857561175049274,3.857561175049274,23.2558139534883,-0.11359253083024878,-0.09826341612655928,-69.54436450839265,0.005319161477600027,-0.0026560440581162963,0.0026490081715768625,-0.005319161477599933,6.458584476655104e-05,0.029999999999999805,0.029999999999999805,0.0,0.029999999999999805,0.06428571428571417,-555204671.0,4.623559221728797,3.7938838379661526,3.732782828700514,0.0
2019-11-11,3.74,3.75,3.62,3.63,3.76,71125927,260568392.5,-3.4574,0.2667,-0.7937,-0.2591,0.2591,1.005,-0.1299999999999999,-0.1200000000000001,-0.2200000000000002,-0.2400000000000002,-0.3899999999999997,-0.6666666666666666,-0.16666666666666669,0.3626373626373627,3.752,3.781428571428571,3.816,3.9259999999999997,4.027,3.819634312541062,3.819634312541062,3.819634312541062,3.819634312541062,3.819634312541062,17.857142857142804,-0.1241542410391494,-0.10344158110907731,-154.00843881856576,-0.005333345975362505,-0.029852963149681274,0.002670228555878892,-0.03261158558876089,0.0001801933676471995,0.1299999999999999,0.009999999999999787,0.13999999999999968,0.13999999999999968,0.06857142857142844,-626330598.0,4.613830161931198,3.8580168960946897,3.568649770571976,-2.71
2019-11-12,3.64,3.65,3.53,3.57,3.63,58784262,209973008.1,-1.6529,-3.4574,0.2667,-0.2597,-0.2584,-1.4925,-0.06000000000000005,-0.18999999999999995,-0.27,-0.29000000000000004,-0.3900000000000001,-0.5,-0.13333333333333336,0.3653846153846154,3.6979999999999995,3.7399999999999998,3.7769999999999997,3.8965000000000005,3.9970000000000003,3.778028593784218,3.778028593784218,3.778028593784218,3.778028593784218,3.778028593784218,16.94915254237283,-0.1358005468604917,-0.1099133742593602,-122.9404309252215,0.0027510333718900187,-0.019418085857101627,0.002743485945750834,-0.030685810703444012,0.0003057762932954696,0.1200000000000001,0.020000000000000018,0.10000000000000009,0.1200000000000001,0.07190476190476179,-685114860.0,4.605450249473115,3.8475840304577416,3.459082636208924,0.5571
2019-11-13,3.56,3.56,3.47,3.48,3.57,68006510,237674401.43,-2.521,-1.6529,-3.4574,-1.5625,-0.2591,-2.5253,-0.08999999999999986,-0.1499999999999999,-0.2999999999999998,-0.3700000000000001,-0.3799999999999999,-0.33333333333333337,-0.09999999999999998,0.36813186813186816,3.6379999999999995,3.6871428571428573,3.739,3.8644999999999996,3.969333333333333,3.7283571614868487,3.7283571614868487,3.7283571614868487,3.7283571614868487,3.7283571614868487,9.374999999999943,-0.15055704803834669,-0.11804210901515749,-113.27345309381235,-0.0028050509276086096,-0.022728251077556175,0.0,-0.02560595090517127,0.00023717551307563708,0.08999999999999986,0.009999999999999787,0.09999999999999964,0.09999999999999964,0.07333333333333322,-753121370.0,4.595093810204817,3.7109966887053645,3.4090033112946356,-0.831
2019-11-14,3.47,3.67,3.43,3.57,3.48,118518997,424075180.11,2.5862,-2.521,-1.6529,-0.7937,-0.2597,0.2591,0.08999999999999986,0.0,-0.18000000000000016,-0.27,-0.30000000000000027,-0.16666666666666669,-0.06666666666666665,0.3708791208791209,3.6019999999999994,3.6485714285714286,3.7090000000000005,3.8385,3.947666666666667,3.701964301239041,3.701964301239041,3.701964301239041,3.701964301239041,3.701964301239041,21.12676056338023,-0.1532231723453461,-0.12507832168119523,-48.17275747508331,-0.002877699827615058,0.02841100183277973,0.05603706810771099,-0.011594332780919257,0.001063550625763026,0.23999999999999977,0.18999999999999995,0.04999999999999982,0.23999999999999977,0.08095238095238083,-634602373.0,4.578913913243129,3.6439230484540577,3.4360769515459415,0.5587
2019-11-15,3.53,3.55,3.47,3.47,3.57,58327374,204233204.4,-2.8011,2.5862,-2.521,0.2667,-1.5625,-0.2584,-0.09999999999999964,-0.009999999999999787,-0.2899999999999996,-0.3099999999999996,-0.3899999999999997,0.0,-0.033333333333333326,0.37362637362637363,3.5439999999999996,3.6042857142857145,3.6700000000000004,3.8095,3.9223333333333334,3.6633035843658677,3.6633035843658677,3.6633035843658677,3.6633035843658677,3.6633035843658677,14.285714285714292,-0.16154309113464338,-0.13237127557188486,-84.64223385689282,-0.011267724846342269,-0.017143276986437427,0.0056497325421191276,-0.017143276986437427,0.0011029772159806344,0.07999999999999963,0.020000000000000018,0.09999999999999964,0.09999999999999964,0.0833333333333332,-692929747.0,4.570366514533099,3.6168180776123164,3.3965152557210163,-0.2778
