date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2010-04-30,67.01,69.97,63.0,69.12,66.7,2672599,177296125.32,3.6282,-1.3168,-4.9634,-4.0675,3.2488,-0.0256,2.4200000000000017,1.5300000000000011,-5.8799999999999955,-6.199999999999989,-9.060000000000002,0.0,0.4666666666666667,-0.17307692307692307,69.90599999999999,71.8157142857143,72.798,80.7495,77.84899999999999,73.16777004948501,73.16777004948501,73.16777004948501,73.16777004948501,73.16777004948501,20.658925195787205,-1.1719891139176042,1.1663584939967766,-64.81293895191767,0.004636909063501245,0.03100226251072092,0.04322471677272591,-0.061707135593546694,0.0036157303651097286,6.969999999999999,3.269999999999996,3.700000000000003,6.969999999999999,6.186190476190477,18655729.0,76.17576895378137,70.2513801738442,65.35528649282249,-7.788
2010-05-04,67.53,70.77,67.0,68.31,69.12,1910436,131906979.24,-1.1719,3.6282,-1.3168,0.0,3.7971,-1.5093,-0.8100000000000023,1.6099999999999994,-6.689999999999998,-9.870000000000005,-8.689999999999998,-0.5,-0.4,-0.16208791208791207,68.56800000000001,70.4057142857143,71.929,79.7405,78.18100000000001,72.35814170790418,72.35814170790418,72.35814170790418,72.35814170790418,72.35814170790418,26.599443671766352,-1.5033545069340306,0.6324158938106152,1.9065776930416274,-0.023272180909049717,0.011484225157007286,0.04686323850094279,-0.00787932419578455,0.004118523821150503,3.769999999999996,1.6499999999999915,2.1200000000000045,3.769999999999996,5.951428571428572,16745293.0,76.08460928366934,70.50701621335973,65.57965045330694,-6.2692
2010-05-05,67.4,71.47,67.0,71.4,68.31,2323656,162598119.45,4.5235,-1.1719,3.6282,-5.1733,-4.0675,-5.2597,3.0900000000000034,2.280000000000001,0.28000000000000114,-3.5999999999999943,-1.5499999999999972,-0.33333333333333337,-0.3666666666666667,-0.15934065934065933,68.624,69.89142857142858,71.774,78.4435,78.42133333333332,72.19845142325349,72.19845142325349,72.19845142325349,72.19845142325349,72.19845142325349,33.89081729252132,-1.499343296255347,0.20606405579742282,138.29910662489786,-0.013411150825496558,0.0576528514272774,0.05863276331362605,-0.005952398527295385,0.0011674156416926558,4.469999999999999,3.1599999999999966,1.3100000000000023,4.469999999999999,5.907142857142858,19068949.0,76.01949217092528,72.81443442747732,66.40556557252268,2.1423
2010-05-06,70.66,71.36,67.01,67.08,71.4,2527632,174490780.63,-6.0504,4.5235,-1.1719,-4.9634,0.0,3.2488,-4.320000000000007,-1.230000000000004,-0.5100000000000051,-7.920000000000002,-8.239999999999995,-0.16666666666666669,-0.33333333333333337,-0.1565934065934066,68.522,68.76,70.95,76.7025,78.48733333333334,71.34537618604458,71.34537618604458,71.34537618604458,71.34537618604458,71.34537618604458,32.94478527607362,-1.82372946115089,-0.1998946475922398,2.9382345586399228,-0.010418227414539618,-0.05199370497599103,0.009857846340754846,-0.05303777994591972,0.0009828467530236984,4.349999999999994,0.04000000000000625,4.390000000000001,4.390000000000001,5.694761904761906,16541317.0,75.88633668700616,73.38147166676391,64.4785283332361,-0.5443
2010-05-07,64.0,66.5,63.89,64.2,67.08,1811442,118088745.25,-4.2934,-6.0504,4.5235,-1.3168,-5.1733,3.7971,-2.8799999999999955,-7.200000000000003,-2.5,-6.920000000000002,-13.980000000000004,0.0,-0.3,-0.15384615384615385,68.022,67.77142857142857,69.552,75.327,78.33766666666666,70.15448015503715,70.15448015503715,70.15448015503715,70.15448015503715,70.15448015503715,30.28764805414552,-2.2868385138622216,-0.6172834208462361,-142.56381096790514,-0.04700285359533625,0.0031201273362436777,0.0383188643021366,-0.0017202287454199444,0.0017200889045621984,2.6099999999999994,0.5799999999999983,3.1899999999999977,3.1899999999999977,5.561904761904763,14729875.0,75.76290581837796,74.80784105786003,60.31215894213997,4.7167
2010-05-10,63.5,64.5,59.2,62.0,64.2,2253290,139243416.58,-3.4268,-4.2934,-6.0504,3.6282,-4.9634,-4.0675,-2.200000000000003,-5.079999999999998,-7.1200000000000045,-5.590000000000003,-13.0,-0.6666666666666666,-0.2,-0.1456043956043956,66.598,66.97285714285715,68.25200000000001,73.57900000000001,78.07833333333333,68.79540012919763,68.79540012919763,68.79540012919763,68.79540012919763,68.79540012919763,29.44078947368422,-2.7991109795037232,-1.0536489325777336,-119.67363223126966,-0.010963304797269584,-0.023905520853554366,0.015625317903080815,-0.07011836400868586,0.003081330440606584,5.299999999999997,0.29999999999999716,5.0,5.299999999999997,5.329047619047619,12476585.0,75.5844299653438,69.52181468545223,59.3315186478811,-1.0761
2010-05-11,63.6,63.6,59.0,59.2,62.0,1731674,105984955.49,-4.5161,-3.4268,-4.2934,-1.1719,-1.3168,0.0,-2.799999999999997,-5.0,-9.11,-7.5,-15.799999999999997,-0.5,-0.16666666666666669,-0.14285714285714285,64.77600000000001,65.90142857142857,66.672,71.9965,77.76833333333333,67.19616677433136,67.19616677433136,67.19616677433136,67.19616677433136,67.19616677433136,30.485381776894698,-3.3919271736159544,-1.5213045807853778,-93.625116329994,0.025479085300984968,-0.07169192845611645,0.0,-0.07507602644035699,0.0026484554530595917,4.600000000000001,1.6000000000000014,3.0,4.600000000000001,5.081428571428572,10744911.0,75.42275492321237,66.81198563445678,56.78801436554323,-2.4864
2010-05-12,58.48,61.0,57.18,60.3,59.2,2034523,121279196.37,1.8581,-4.5161,-3.4268,4.5235,3.6282,-5.1733,1.0999999999999943,-1.7000000000000028,-11.100000000000009,-8.820000000000007,-10.820000000000007,-0.33333333333333337,-0.13333333333333336,-0.1401098901098901,62.556,64.64142857142858,65.59,70.923,77.32633333333334,66.04680564527614,66.04680564527614,66.04680564527614,66.04680564527614,66.04680564527614,27.885747938751493,-3.7299805772809123,-1.9630397800844848,-82.62450690335305,-0.012236726448437034,0.030647288291616698,0.04218904873178827,-0.022480628547357273,0.0020133524199129954,3.8200000000000003,1.7999999999999972,2.020000000000003,3.8200000000000003,4.8342857142857145,12779434.0,75.24944115218274,63.32134719593334,57.67865280406666,-3.1076
2010-05-13,60.6,60.9,57.28,60.8,60.3,2055246,122642068.95,0.8292,1.8581,-4.5161,-6.0504,-1.1719,-4.9634,0.5,1.5999999999999943,-6.280000000000001,-7.510000000000005,-6.790000000000006,-0.16666666666666669,-0.09999999999999998,-0.13736263736263737,61.3,63.568571428571424,64.911,69.88250000000001,76.71966666666667,65.17233803773011,65.17233803773011,65.17233803773011,65.17233803773011,65.17233803773011,22.499999999999986,-3.912444291522334,-2.352920682372055,-65.89147286821684,0.004962789342129097,0.0032948958968524846,0.004938281640582577,-0.05634337042287857,0.0025042316377593865,3.6199999999999974,0.6000000000000014,3.019999999999996,3.6199999999999974,4.574285714285715,14834680.0,75.08407166259761,61.73707055437477,58.462929445625235,-9.8684
2010-05-14,60.4,62.3,59.0,61.9,60.8,1800793,109597254.21,1.8092,0.8292,1.8581,-4.2934,4.5235,-1.3168,1.1000000000000014,1.6000000000000014,-2.3000000000000043,-9.500000000000007,-4.800000000000004,0.0,-0.06666666666666665,-0.13461538461538464,60.839999999999996,62.21142857142858,64.431,69.06750000000001,75.89233333333333,64.6269483647751,64.6269483647751,64.6269483647751,64.6269483647751,64.6269483647751,27.81165311653116,-3.9230646455117864,-2.6669494750000013,45.02641856191086,-0.006600684031352024,0.024531074749781116,0.03097232085263819,-0.02345166103504982,0.002247246141763937,3.299999999999997,1.5,1.7999999999999972,3.299999999999997,4.532380952380953,16635473.0,74.95317741579886,62.63707055437481,59.36292944562519,-1.2044
2010-05-17,60.5,61.29,57.0,57.02,61.9,1840558,109859693.53,-7.8837,1.8092,0.8292,-3.4268,-6.0504,3.6282,-4.8799999999999955,-3.779999999999994,-4.979999999999997,-10.059999999999995,-12.100000000000001,-0.6666666666666666,0.033333333333333326,-0.12637362637362637,59.84400000000001,60.77428571428572,63.221000000000004,68.0095,74.90666666666667,63.35912363731259,63.35912363731259,63.35912363731259,63.35912363731259,63.35912363731259,23.866279069767444,-4.275965895554691,-2.9887527591109397,-120.04978501923523,-0.022876814653754646,-0.059241281552269744,0.012973332460844695,-0.05959209720224566,0.0014592114607559251,4.289999999999999,0.6099999999999994,4.899999999999999,4.899999999999999,4.4419047619047625,14794915.0,74.77302952055831,65.02609371794244,54.787239615390895,-4.8393
2010-05-18,57.02,57.02,57.02,57.02,57.02,0,0.0,0.0,-7.8837,1.8092,-4.5161,-4.2934,-1.1719,0.0,-4.8799999999999955,-2.1799999999999997,-7.18,-11.29,-0.5,0.06666666666666665,-0.12362637362637363,59.408,59.74857142857143,62.092000000000006,67.01050000000001,73.85766666666667,62.302603031093824,62.302603031093824,62.302603031093824,62.302603031093824,62.302603031093824,26.90039318479687,-4.503726522846932,-3.291747511858138,-125.28626707731179,0.0,0.0,0.0,0.0,0.0008405130519240902,0.0,0.0,0.0,0.0,4.264285714285715,14794915.0,74.77302952055831,64.28160529395747,53.01172803937587,-1.4363
2010-05-19,57.65,62.7,57.5,60.51,57.02,3408179,204465034.53,6.1207,0.0,-7.8837,1.8581,-3.4268,4.5235,3.489999999999995,3.489999999999995,0.21000000000000085,-1.490000000000002,-10.890000000000008,-0.33333333333333337,0.09999999999999998,-0.1208791208791209,59.45,59.535714285714285,61.003,66.3885,72.63000000000001,62.00383585924486,62.00383585924486,62.00383585924486,62.00383585924486,62.00383585924486,38.385826771653534,-4.3524423815762106,-3.503886485801753,51.032069137918704,0.010988163230541977,0.04841839391916212,0.0839712009238071,-0.002605298911763254,0.0015892237115464531,5.200000000000003,5.68,0.4799999999999969,5.68,4.293333333333335,18203094.0,74.51256272756436,62.213238212276984,54.15342845438969,-3.7613
2010-05-20,59.6,62.26,59.4,59.81,60.51,2146289,130206252.45,-1.1568,6.1207,0.0,0.8292,-4.5161,-6.0504,-0.6999999999999957,2.789999999999999,-0.9899999999999949,0.6099999999999994,-7.269999999999996,-0.16666666666666669,0.1333333333333333,-0.11813186813186816,59.251999999999995,59.62285714285714,60.275999999999996,65.613,71.227,61.63819654937072,61.63819654937072,61.63819654937072,61.63819654937072,61.63819654937072,38.62660944206008,-4.240154893326213,-3.6511401673066453,50.33881897386252,-0.015153066562925923,0.0035172969851616494,0.04366359094215796,-0.003361347702704883,0.0026761363109213334,2.8599999999999994,1.75,1.1099999999999994,2.8599999999999994,4.085238095238096,16056805.0,74.34540231203529,62.80604687940403,55.420619787262645,3.0284
