date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2010-11-15,153.0,162.08,151.0,161.99,151.8,592319,92019259.26,6.7128,-3.3121,-1.9853,6.8166,2.1056,6.9232,10.189999999999998,4.990000000000009,9.990000000000009,19.909999999999997,12.490000000000009,-0.6666666666666666,-0.033333333333333326,0.37362637362637363,156.93400000000003,154.13857142857142,150.918,140.6085,128.45066666666668,150.14388150197203,150.14388150197203,150.14388150197203,150.14388150197203,150.14388150197203,70.58469863219601,13.067113243498227,12.472511305743224,54.78645534975487,0.007874056430905866,0.05709668353961124,0.05765211910793784,-0.013158084577511088,0.00253445966707274,11.080000000000013,10.280000000000001,0.8000000000000114,11.080000000000013,8.82904761904762,11834796.0,107.91278926700808,167.1207212698611,146.73927873013898,-4.6184
2010-11-16,162.0,166.88,152.88,156.0,161.99,604213,96342712.89,-3.6978,6.7128,-3.3121,1.1184,0.1548,-0.3478,-5.990000000000009,4.199999999999989,2.3000000000000114,13.699999999999989,7.02000000000001,-0.5,0.0,0.37637362637362637,157.394,156.0957142857143,151.62,142.8595,130.58433333333335,151.11990125164337,151.11990125164337,151.11990125164337,151.11990125164337,151.11990125164337,62.406236211207535,12.648572569952336,12.507723558585045,46.95974878675522,6.173030033752673e-05,-0.037740327982847086,0.02967865602007819,-0.05794303530036647,0.0022850997364865042,14.0,4.889999999999986,9.110000000000014,14.0,9.08,11230583.0,108.40543961448674,166.83893855005917,146.35439478327422,-2.3984
2010-11-17,152.22,155.46,146.68,147.65,156.0,594344,89451448.36,-5.3526,-3.6978,6.7128,4.216,6.8166,-6.5982,-8.349999999999994,-14.340000000000003,-12.530000000000001,-4.349999999999994,8.5,-0.33333333333333337,0.033333333333333326,0.3791208791208791,154.888,155.4742857142857,152.47,144.59,132.501,150.54158437636949,150.54158437636949,150.54158437636949,150.54158437636949,150.54158437636949,56.19867549668875,11.51041594458215,12.308262035784468,-108.44808989891425,-0.024529164410291588,-0.03048223464931373,0.021061620962828057,-0.037073499636120166,0.0023788294254198,8.780000000000001,0.539999999999992,9.319999999999993,9.319999999999993,9.106666666666667,10636239.0,108.79698467866054,169.61792056564695,140.80874610101972,2.1637
2010-11-18,147.99,156.5,146.98,154.03,147.65,444197,67698093.58,4.321,-5.3526,-3.6978,-1.9853,1.1184,2.1056,6.3799999999999955,-1.9699999999999989,-2.969999999999999,0.3300000000000125,11.949999999999989,-0.16666666666666669,0.06666666666666665,0.38186813186813184,154.294,155.52142857142857,153.665,146.29399999999998,134.50166666666667,151.12298698030793,151.12298698030793,151.12298698030793,151.12298698030793,151.12298698030793,58.842563783447424,10.996470828470677,12.045903794321712,-38.67855098536247,0.0023000957238249707,0.040002684722609545,0.05591130606645127,-0.0068481808130315645,0.0017251414353610694,9.52000000000001,8.849999999999994,0.6700000000000159,9.52000000000001,9.24904761904762,11080436.0,109.13177216977392,161.28955898084203,143.83044101915792,1.785
2010-11-19,154.54,161.0,152.53,159.99,154.03,416990,65256686.57,3.8694,4.321,-5.3526,-3.3121,4.216,0.1548,5.960000000000008,12.340000000000003,8.189999999999998,-0.18999999999999773,17.689999999999998,0.0,0.09999999999999998,0.3846153846153846,155.932,155.49428571428572,155.434,148.1035,136.38766666666666,152.60082248358995,152.60082248358995,152.60082248358995,152.60082248358995,152.60082248358995,56.84457784157642,10.943932964526113,11.825509628362592,47.2528916929548,0.003305573869071553,0.034658350775182784,0.04095140247902531,-0.013091664493595962,0.0009662102074582371,8.469999999999999,6.969999999999999,1.5,8.469999999999999,9.083333333333334,11497426.0,109.48270003513355,166.2323822659971,141.54761773400287,3.9459
2010-11-22,160.0,165.0,156.11,160.36,159.99,585813,94089129.24,0.2313,3.8694,4.321,6.7128,-1.9853,6.8166,0.37000000000000455,6.3300000000000125,-1.6299999999999955,3.3600000000000136,8.360000000000014,-0.6666666666666666,0.19999999999999996,0.3928571428571429,155.606,155.9742857142857,156.27,149.4275,138.14966666666666,153.89401873632497,153.89401873632497,153.89401873632497,153.89401873632497,153.89401873632497,57.439853556485374,10.807569305144739,11.621921563719024,82.73638968481417,6.250195320632168e-05,0.00224747254047937,0.030771658666753687,-0.024612928265251622,0.0011623903878711936,8.889999999999986,5.009999999999991,3.8799999999999955,8.889999999999986,9.05904761904762,12083239.0,109.97115485738601,165.2319417023942,151.02139163093912,2.9382
2010-11-23,160.05,161.6,156.32,159.8,160.36,334779,53131620.73,-0.3492,0.2313,3.8694,-3.6978,-3.3121,1.1184,-0.5600000000000023,-0.18999999999999773,3.8000000000000114,8.0,6.100000000000023,-0.5,0.23333333333333328,0.39560439560439564,156.366,157.11714285714288,156.88,150.6875,139.85966666666667,154.87834894693748,154.87834894693748,154.87834894693748,154.87834894693748,154.87834894693748,65.36229727719089,10.532896132636296,11.404116477502479,56.426514306948796,-0.00193502135843412,-0.0015632330836977864,0.009637879671122767,-0.023581078121399514,0.0010007247565196197,5.280000000000001,1.2399999999999807,4.0400000000000205,5.280000000000001,8.72095238095238,11748460.0,110.24305166215844,160.61956123463526,159.48043876536482,2.2293
2010-11-24,159.65,164.0,157.59,163.61,159.8,383512,62193234.91,2.3842,-0.3492,0.2313,-5.3526,6.7128,4.216,3.8100000000000023,3.25,15.960000000000008,1.6200000000000045,3.430000000000007,-0.33333333333333337,0.2666666666666667,0.3983516483516484,159.55800000000002,157.34857142857143,157.223,151.9115,141.48033333333333,156.33362412244793,156.33362412244793,156.33362412244793,156.33362412244793,156.33362412244793,65.80995740931121,10.501594973176594,11.223612176637303,88.09697983070367,-0.0009391141713832493,0.02450162783419428,0.026882508663407353,-0.01298719552681119,0.0005699822161325397,6.409999999999997,4.199999999999989,2.210000000000008,6.409999999999997,8.747619047619047,12131972.0,110.57457194952838,165.3710479486254,157.14228538470798,3.159
2010-11-25,161.21,168.0,160.5,165.5,163.61,702861,115651128.07,1.1552,2.3842,-0.3492,4.321,-3.6978,-1.9853,1.8899999999999864,5.699999999999989,11.469999999999999,9.5,8.5,-0.16666666666666669,0.30000000000000004,0.4010989010989011,161.85200000000003,158.7057142857143,158.07300000000004,153.272,143.32000000000002,157.8613534353733,157.8613534353733,157.8613534353733,157.8613534353733,157.8613534353733,66.62844036697247,10.508164207523805,11.080522582814604,134.1322619377472,-0.01477768410707805,0.02626333192921041,0.04125611651535169,-0.004413920317836612,0.0006971786077590292,7.5,4.389999999999986,3.1100000000000136,7.5,8.726666666666667,12834833.0,111.19285198817815,168.77678912997527,157.16321087002478,0.0659
2010-11-26,164.24,164.99,159.61,159.88,165.5,438382,70704685.19,-3.3958,1.1552,2.3842,3.8694,-5.3526,-3.3121,-5.6200000000000045,-3.730000000000018,-0.11000000000001364,12.22999999999999,8.079999999999984,0.0,0.33333333333333337,0.40384615384615385,161.83,160.45285714285714,158.881,154.275,144.99966666666666,158.19779452947776,158.19779452947776,158.19779452947776,158.19779452947776,158.19779452947776,55.998781973203414,9.945240796171646,10.853466225486013,-1.5585621435212043,-0.0076424221064394365,-0.026905238867555487,0.0045560932926749995,-0.028595433016211116,0.0005719582173967512,5.3799999999999955,0.5099999999999909,5.889999999999986,5.889999999999986,8.534285714285712,12396451.0,111.5322981311112,168.71618879122673,157.2771445421066,-8.1803
