date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2012-05-23,19.68,19.73,19.15,19.28,19.72,800140,15524053.61,-2.2312,0.6122,0.7712,-0.6218,-0.9819,-2.4814,-0.4399999999999977,-0.3200000000000003,0.10000000000000142,0.120000000000001,-0.36999999999999744,-0.33333333333333337,0.23333333333333328,-0.10714285714285715,19.506,19.43,19.432000000000002,19.4905,19.825666666666667,19.509134006830145,19.509134006830145,19.509134006830145,19.509134006830145,19.509134006830145,43.46405228758173,-0.3041023104339935,-0.36998135014596745,-89.99081726354476,-0.0020304575503819517,-0.020534602441707753,0.0025374284104167444,-0.027300175997452412,0.00020170995087997041,0.5800000000000018,0.010000000000001563,0.5700000000000003,0.5800000000000018,0.5185714285714286,-4579171.0,20.355008057127694,19.9882325895796,19.078434077087064,0.0495
2012-05-24,19.18,19.46,19.16,19.18,19.28,458161,8828934.98,-0.5187,-2.2312,0.6122,1.5641,0.7307,0.7634,-0.10000000000000142,-0.5399999999999991,-0.3000000000000007,-0.120000000000001,-0.620000000000001,-0.16666666666666669,0.2666666666666667,-0.10439560439560441,19.446,19.412857142857145,19.37,19.5155,19.738333333333337,19.45427833902512,19.45427833902512,19.45427833902512,19.45427833902512,19.45427833902512,35.56338028169016,-0.3089142673848748,-0.357767933593749,-114.7832267235247,-0.005200219727107487,0.0,0.014493007302566824,-0.0010432969125776746,0.00023093274947785244,0.3000000000000007,0.17999999999999972,0.120000000000001,0.3000000000000007,0.4576190476190476,-5037332.0,20.346288794329848,19.9679056380378,18.81876102862887,-0.6497
2012-05-25,19.23,19.35,18.77,18.8,19.18,479028,9105401.68,-1.9812,-0.5187,-2.2312,-0.154,-0.6218,-2.2727,-0.379999999999999,-0.4800000000000004,-0.6499999999999986,-0.379999999999999,-0.5500000000000007,0.0,0.30000000000000004,-0.10164835164835168,19.316000000000003,19.358571428571427,19.315,19.4965,19.663999999999998,19.3452319491876,19.3452319491876,19.3452319491876,19.3452319491876,19.3452319491876,31.36645962732922,-0.33947731892889976,-0.3541098106607792,-130.2216538789432,0.0026034901453962536,-0.022614689764784788,0.0062208598751025326,-0.02421170900227094,0.0002482624297482948,0.5800000000000018,0.1700000000000017,0.41000000000000014,0.5800000000000018,0.44190476190476197,-5516360.0,20.334384166777635,19.593157864352648,18.58017546898069,-3.7223
2012-05-28,18.7,18.8,18.2,18.79,18.8,542140,10057534.14,-0.0532,-1.9812,-0.5187,0.7712,1.5641,-0.9819,-0.010000000000001563,-0.39000000000000057,-0.8100000000000023,-0.6900000000000013,-0.370000000000001,-0.6666666666666666,0.4,-0.09340659340659341,19.154,19.259999999999998,19.278000000000002,19.477,19.6,19.25269329098967,19.25269329098967,19.25269329098967,19.25269329098967,19.25269329098967,27.922077922077975,-0.36035176308528705,-0.3553582011456808,-122.73361227336079,-0.005333345975362617,0.00480128956483307,0.005333345975362603,-0.02710192977779127,0.0005611805471341029,0.6000000000000014,0.0,0.6000000000000014,0.6000000000000014,0.4390476190476192,-6058500.0,20.321043933957544,19.368005497217425,18.478661169449246,-0.7315
2012-05-29,18.71,19.12,18.7,19.05,18.79,526102,9993744.27,1.3837,-0.0532,-1.9812,0.6122,-0.154,0.7307,0.26000000000000156,0.25,-0.6699999999999982,-0.3999999999999986,-0.25,-0.5,0.43333333333333335,-0.09065934065934067,19.02,19.202857142857145,19.253,19.462,19.533666666666665,19.218911075824725,19.218911075824725,19.218911075824725,19.218911075824725,19.218911075824725,39.43661971830992,-0.3518590710359,-0.35465837512372467,-22.744648318042092,-0.004266673139375574,0.018008961286711776,0.021676767337256896,-0.0005346164254574462,0.00044836795132166383,0.4200000000000017,0.33000000000000185,0.08999999999999986,0.4200000000000017,0.4380952380952382,-5532398.0,20.31047814600872,19.174618397253163,18.585381602746835,-1.0526
2012-05-30,19.14,19.22,18.93,19.0,19.05,518197,9865841.5,-0.2625,1.3837,-0.0532,-2.2312,0.7712,-0.6218,-0.05000000000000071,0.21000000000000085,-0.28000000000000114,-0.6000000000000014,-0.17999999999999972,-0.33333333333333337,0.4666666666666667,-0.08791208791208793,18.964,19.117142857142856,19.235,19.431,19.494000000000003,19.182425896520606,19.182425896520606,19.182425896520606,19.182425896520606,19.182425896520606,35.40145985401462,-0.3451840664839807,-0.35276351339577594,35.30092592592587,0.004713284452098137,-0.007341406858367745,0.004171017517338104,-0.011032420803576725,0.00014759342351969578,0.28999999999999915,0.16999999999999815,0.120000000000001,0.28999999999999915,0.4290476190476191,-6050595.0,20.299835377338134,19.222589361154387,18.67074397217895,0.5851
2012-05-31,18.95,19.22,18.9,19.11,19.0,554619,10585935.98,0.5789,-0.2625,1.3837,-0.5187,0.6122,1.5641,0.10999999999999943,0.05999999999999872,-0.07000000000000028,-0.6099999999999994,-0.370000000000001,-0.16666666666666669,0.5,-0.08516483516483514,18.95,19.03,19.198,19.4025,19.465333333333334,19.17035491376717,19.17035491376717,19.17035491376717,19.17035491376717,19.17035491376717,44.99999999999997,-0.32724571173265815,-0.3476599530631524,72.85429141716654,-0.0026350476380051138,0.008407826723746301,0.014147472013711124,-0.0026420094628386965,0.00012848187064756848,0.3200000000000003,0.21999999999999886,0.10000000000000142,0.3200000000000003,0.4157142857142859,-5495976.0,20.28958233036506,19.16348474427923,18.94318192238743,-8.1967
2012-06-01,19.18,19.21,18.91,19.12,19.11,346296,6608883.3,0.0523,0.5789,-0.2625,-1.9812,-2.2312,-0.154,0.010000000000001563,0.120000000000001,0.3200000000000003,-0.16000000000000014,-0.3299999999999983,0.0,-0.5,-0.0824175824175824,19.014,19.00714285714286,19.165,19.3585,19.424666666666667,19.161962428139308,19.161962428139308,19.161962428139308,19.161962428139308,19.161962428139308,49.09909909909912,-0.30866442853167797,-0.3398608481568575,60.037523452159775,0.003656311203110479,-0.0031331618320368194,0.0015629073251732834,-0.01417718678492596,0.00015141709287614516,0.3000000000000007,0.10000000000000142,0.1999999999999993,0.3000000000000007,0.4128571428571431,-5149680.0,20.283323125554674,19.209833229036413,18.943500104296923,-4.7811
2012-06-04,18.78,18.93,18.41,18.42,19.12,538989,10043515.79,-3.6611,0.0523,0.5789,-0.0532,-0.5187,0.7712,-0.6999999999999993,-0.6899999999999977,-0.36999999999999744,-0.759999999999998,-1.1799999999999997,-0.6666666666666666,-0.4,-0.07417582417582419,18.94,18.898571428571433,19.047,19.2795,19.359666666666666,19.038302023449425,19.038302023449425,19.038302023449425,19.038302023449425,19.038302023449425,34.172661870503646,-0.34642935561317145,-0.34117454964812033,-166.66666666666504,-0.01794243384313841,-0.01935544295295598,0.00795549144111446,-0.019898478535130416,0.00042420174936316475,0.5199999999999996,0.19000000000000128,0.7100000000000009,0.7100000000000009,0.42809523809523836,-5688669.0,20.26793072075262,19.68591250907449,18.08075415759218,0.5445
2012-06-05,18.5,18.59,18.31,18.42,18.42,343632,6335018.55,0.0,-3.6611,0.0523,1.3837,-1.9812,0.6122,0.0,-0.6999999999999993,-0.629999999999999,-0.379999999999999,-1.2999999999999972,-0.5,-0.3666666666666667,-0.07142857142857145,18.814,18.844285714285714,18.917,19.193,19.28933333333333,18.935251686207856,18.935251686207856,18.935251686207856,18.935251686207856,18.935251686207856,35.714285714285765,-0.37206934856176943,-0.3473535094308502,-101.66666666666784,0.004333701257118351,-0.004333701257118305,0.004853069649073464,-0.01032337339785991,0.00041109725846928463,0.28000000000000114,0.16999999999999815,0.11000000000000298,0.28000000000000114,0.42380952380952425,-5688669.0,20.258249359551854,19.46162371019881,17.84504295646786,-0.7822
