date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2019-07-29,231.5,240.2,226.31,231.96,233.0,2863722,667760446.81,-0.446349,0.8658,-5.444127,1.31036,-0.851745,10.0,-1.039999999999992,0.960000000000008,23.210000000000008,16.610000000000014,29.120000000000005,-0.6666666666666666,0.43333333333333335,0.07417582417582413,232.858,225.58428571428573,223.47600000000003,198.867,159.57333333333332,217.47663294535448,217.47663294535448,217.47663294535448,217.47663294535448,217.47663294535448,70.78732597215554,34.92217110989225,35.685960212373324,25.372948560659054,-0.0064585800394118195,0.0019850694819511087,0.036892036119594296,-0.022674132733633688,0.001202126656580246,13.889999999999986,7.199999999999989,6.689999999999998,13.889999999999986,15.032857142857143,29955407.0,191.60717797526323,233.98719992891267,229.98613340442068,8.3132
2019-07-30,230.0,235.0,225.01,230.95,231.96,2131011,489587569.93,-0.4354,-0.446349,0.8658,7.319759,-4.318552,9.998027,-1.0100000000000193,-2.0500000000000114,6.9199999999999875,24.899999999999977,7.829999999999984,-0.5,0.4666666666666667,0.07692307692307687,234.24200000000002,229.14142857142858,224.25900000000001,203.825,165.57766666666666,219.72219412112872,219.72219412112872,219.72219412112872,219.72219412112872,219.72219412112872,67.79122671473945,33.60769753041626,35.27030767598191,-78.2294291662104,-0.008485634085044505,0.004121927953418873,0.021506205220963682,-0.02193446326195593,0.0012890157701351994,9.990000000000009,3.039999999999992,6.950000000000017,9.990000000000009,14.99,27824396.0,192.33162525366242,234.02007316943062,229.91992683056938,-1.0133
2019-07-31,230.5,244.8,228.0,242.5,230.95,3895526,926301991.98,5.0011,-0.4354,-0.446349,9.047897,1.31036,-2.65328,11.550000000000011,10.539999999999992,-1.8000000000000114,33.75,25.30000000000001,-0.33333333333333337,0.5,0.07967032967032972,233.88199999999998,233.96285714285713,226.78900000000004,208.70149999999998,171.79766666666666,223.5184951009406,223.5184951009406,223.5184951009406,223.5184951009406,223.5184951009406,70.97381213736867,33.11621313019529,34.83948876682459,140.52463487278916,-0.0019503744399110992,0.05075084794083464,0.0601906882014679,-0.010905233482262468,0.0011138796991477563,16.80000000000001,13.850000000000023,2.9499999999999886,16.80000000000001,15.219523809523812,31719922.0,193.9653307390732,247.93026402367903,222.34306930965428,-1.2869
2019-08-01,239.71,245.94,236.0,242.0,242.5,2315166,555305769.02,-0.2062,5.0011,-0.4354,-5.444127,7.319759,-0.851745,-0.5,11.050000000000011,11.0,17.97,26.650000000000006,-0.16666666666666669,-0.5,0.08241758241758246,236.08199999999997,236.53,229.454,212.82799999999997,177.81466666666665,226.59874591745051,226.59874591745051,226.59874591745051,226.59874591745051,226.59874591745051,73.33117303953337,32.313868222555556,34.33436465797078,106.25450995373362,-0.011571850992219104,0.009507866771367635,0.02565774435898236,-0.015598054359708739,0.0010560195832113213,9.939999999999998,3.4399999999999977,6.5,9.939999999999998,15.065238095238097,29404756.0,194.87732004457723,251.54102582984115,225.42564083682555,0.2459
2019-08-02,231.0,243.7,230.0,231.2,242.0,2798845,661978123.16,-4.4628,-0.2062,5.0011,0.8658,9.047897,-4.318552,-10.800000000000011,-11.300000000000011,-1.8000000000000114,-13.100000000000023,25.149999999999977,0.0,-0.4666666666666667,0.0851648351648352,235.72199999999998,234.6585714285714,231.969,215.61700000000002,183.26666666666668,227.36562159787545,227.36562159787545,227.36562159787545,227.36562159787545,227.36562159787545,62.24525043177892,30.455462745372785,33.55858427545118,-11.71289839351275,-0.04652001563489282,0.0008654262764289014,0.05352025010936693,-0.00433840159859813,0.0022940960416164696,13.699999999999989,1.6999999999999886,12.0,13.699999999999989,15.02714285714286,26605911.0,195.6923133319668,251.33590052517818,225.7974328081552,0.7892
2019-08-05,227.95,236.66,226.62,230.5,231.2,2045640,474583680.38,-0.3028,-4.4628,-0.2062,-0.446349,-5.444127,1.31036,-0.6999999999999886,-11.5,-1.460000000000008,-0.5,21.75,-0.6666666666666666,-0.3666666666666667,0.09340659340659341,235.42999999999998,234.58714285714285,234.144,217.8825,188.47,227.88801799822954,227.88801799822954,227.88801799822954,227.88801799822954,227.88801799822954,53.834961546456036,28.596535801763793,32.56617458071371,-72.20938071848228,-0.014156830138772024,0.011124555777252894,0.037498205296962295,-0.005851700707029847,0.00233840049607244,10.039999999999992,5.460000000000008,4.579999999999984,10.039999999999992,14.745714285714287,24560271.0,196.2539265118498,247.46059288536964,221.67274044796375,-1.9208
2019-08-06,225.01,234.86,220.62,231.12,230.5,2036473,465289559.73,0.269,-0.3028,-4.4628,-0.4354,0.8658,7.319759,0.6200000000000045,-0.07999999999998408,0.17000000000001592,-1.8799999999999955,7.090000000000003,-0.5,-0.33333333333333337,0.09615384615384615,235.464,234.31857142857143,234.85299999999998,220.43849999999998,193.446,228.42668166519127,228.42668166519127,228.42668166519127,228.42668166519127,228.42668166519127,57.65508139023318,26.863683799770854,31.42567642452514,-103.65135453474636,-0.02410601677546374,0.026792210496740375,0.04284474627569575,-0.01970308112000386,0.0012997407290343329,14.240000000000009,4.360000000000014,9.879999999999995,14.240000000000009,14.588571428571429,26596744.0,196.80510749159066,231.70628976244006,230.17371023756,0.7026
2019-08-07,231.29,245.0,226.1,236.03,231.12,2495278,590331236.99,2.1244,0.269,-0.3028,5.0011,-0.446349,9.047897,4.909999999999997,5.530000000000001,-6.469999999999999,4.069999999999993,-8.27000000000001,-0.33333333333333337,-0.3,0.09890109890109888,234.17,234.9,234.026,222.76499999999996,198.31300000000002,229.6939013876594,229.6939013876594,229.6939013876594,229.6939013876594,229.6939013876594,61.00234092360076,25.591578284821708,30.258856796584453,24.592252803261808,0.0007352782494279715,0.020286581183380083,0.05758587613731928,-0.022694955123483507,0.0024886562203574017,18.900000000000006,13.879999999999995,5.02000000000001,18.900000000000006,14.913333333333336,29092022.0,197.55045935454973,238.6093398980435,226.4906601019566,2.3753
2019-08-08,240.0,259.63,236.17,257.01,236.03,3697922,933356021.04,8.8887,2.1244,0.269,-0.2062,-0.4354,-5.444127,20.97999999999999,25.889999999999986,15.009999999999991,26.060000000000002,26.00999999999999,-0.16666666666666669,-0.26666666666666666,0.10164835164835162,237.17200000000003,238.62285714285716,236.627,226.16549999999998,203.57933333333332,234.24658448971616,234.24658448971616,234.24658448971616,234.24658448971616,234.24658448971616,74.11508612530757,25.976890735675568,29.40246358440268,166.6666666666662,0.016680007751203603,0.06847607130207099,0.07861861721482147,-0.016087038652931176,0.0026517848775195617,23.460000000000008,23.599999999999994,0.13999999999998636,23.599999999999994,15.53714285714286,32789944.0,199.17900177906895,268.8889162716237,213.88441706170966,2.8335
2019-08-09,251.0,260.83,244.6,253.01,257.01,3111226,785200240.58,-1.5564,8.8887,2.1244,-4.4628,5.0011,0.8658,-4.0,16.97999999999999,21.810000000000002,10.509999999999991,20.00999999999999,0.0,-0.23333333333333334,0.10439560439560436,241.53400000000002,240.1242857142857,238.62800000000001,229.596,208.38233333333332,237.3738204080968,237.3738204080968,237.3738204080968,237.3738204080968,237.3738204080968,70.68997756170529,25.663652448046236,28.65470135713139,89.87260613832136,-0.023662055512278395,0.007976074506316395,0.03841591498003976,-0.025828715878711928,0.002892723900555109,16.22999999999999,3.819999999999993,12.409999999999997,16.22999999999999,15.82047619047619,29678718.0,200.3915237246349,270.96158580818786,226.40508085847875,8.8614
