date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2020-11-25,69.99,70.44,66.66,67.68,69.62,51077040,3476569378.74,-2.7866,-4.1839,0.373,-0.4725,11.8586,-5.5111,-1.9399999999999977,-4.97999999999999,-6.039999999999992,-4.47999999999999,7.500000000000007,-0.33333333333333337,0.30000000000000004,0.40384615384615385,70.072,71.16428571428571,70.051,62.392500000000005,57.541000000000004,67.91933336811073,67.91933336811073,67.91933336811073,67.91933336811073,67.91933336811073,65.22988505747131,4.85637681726152,4.358743306512693,-130.53937705748282,0.005300492318155394,-0.03356165940348025,0.006408908926557088,-0.048747301821854605,0.0013914246980718215,3.780000000000001,0.8199999999999932,2.960000000000008,3.780000000000001,4.931904761904762,160043272.0,56.98613565220744,75.00699866100086,64.96633467233247,8.8654
2020-11-26,67.53,70.29,67.5,68.87,67.68,43664027,3007982525.6,1.7583,-2.7866,-4.1839,-7.7455,2.6469,9.1559,1.1899999999999977,-0.75,0.8599999999999994,-5.199999999999989,3.180000000000007,-0.16666666666666669,0.33333333333333337,0.4065934065934066,70.244,70.42142857142858,70.369,63.6125,57.97,68.07777780675895,68.07777780675895,68.07777780675895,68.07777780675895,68.07777780675895,60.10651787978699,4.607365533939742,4.408467751998103,-64.89262371615334,-0.0022187717112173533,0.019648725969856354,0.04005759760106352,-0.0004443457082664057,0.0009792142733487251,2.7900000000000063,2.6099999999999994,0.18000000000000682,2.7900000000000063,4.986190476190476,203707299.0,57.166128990250975,70.67989494323363,66.76677172343305,4.2191
2020-11-27,68.17,68.99,65.95,66.74,68.87,45347117,3044225436.86,-3.0928,1.7583,-2.7866,6.4402,-0.4725,-1.7963,-2.1300000000000097,-0.9400000000000119,-5.650000000000006,-6.980000000000004,2.2299999999999898,0.0,0.3666666666666667,0.40934065934065933,69.114,69.42428571428572,70.59200000000001,64.65,58.561,67.8548148389658,67.8548148389658,67.8548148389658,67.8548148389658,67.8548148389658,56.22549019607843,4.189851103600013,4.364744422318485,-98.34763266603075,-0.010216084181912992,-0.021200112051466075,0.011956981183323317,-0.03310770621137031,0.0008425701392050701,3.039999999999992,0.11999999999999034,2.9200000000000017,3.039999999999992,5.0719047619047615,158360182.0,57.31439240396842,69.89821818581032,65.62844848085635,-11.3034
2020-11-30,67.33,70.23,66.3,69.77,66.74,59051033,4070191670.36,4.54,-3.0928,1.7583,0.373,-7.7455,11.8586,3.030000000000001,0.8999999999999915,-2.8900000000000006,1.759999999999991,-2.3900000000000006,-0.6666666666666666,0.4666666666666667,0.41758241758241754,68.536,69.67571428571429,70.353,65.556,59.379999999999995,68.17401236580483,68.17401236580483,68.17401236580483,68.17401236580483,68.17401236580483,57.27272727272728,4.05670046896234,4.303135631647256,12.341062079282512,0.008801429233961596,0.03559821539395555,0.042169667613739574,-0.01541600536537273,0.001161688934006721,3.930000000000007,3.490000000000009,0.4399999999999977,3.930000000000007,5.096666666666667,217411215.0,57.56060951156329,71.57210539667317,65.34789460332682,0.9253
2020-12-01,69.3,70.14,68.4,69.71,69.77,37557627,2601456074.98,-0.086,4.54,-3.0928,-4.1839,6.4402,2.6469,-0.060000000000002274,2.969999999999999,0.0899999999999892,-2.680000000000007,-4.359999999999999,-0.5,-0.5,0.4203296703296703,68.554,69.29285714285714,69.917,66.48349999999999,60.107,68.43001030483737,68.43001030483737,68.43001030483737,68.43001030483737,68.43001030483737,62.42503259452413,3.901363641608455,4.2227812336394965,98.23495370370385,-0.0067592117552875974,0.005898873302449764,0.012048338516174574,-0.013072081567352662,0.0007941573238128059,1.7399999999999949,0.37000000000000455,1.3699999999999903,1.7399999999999949,4.8757142857142854,179853588.0,57.711461933233224,72.20462119141504,65.27537880858495,-7.6271
2020-12-02,70.2,72.8,70.1,70.6,69.71,55278508,3952205112.95,1.2767,-0.086,4.54,-2.7866,0.373,-0.4725,0.8900000000000006,0.8299999999999983,2.9199999999999875,-2.0600000000000023,-3.1200000000000045,-0.33333333333333337,-0.4666666666666667,0.42307692307692313,69.138,68.99857142857142,69.60499999999999,67.3265,60.877,68.79167525403113,68.79167525403113,68.79167525403113,68.79167525403113,68.79167525403113,57.27838719241033,3.806198165572127,4.139464620026023,144.14790102863407,0.007004531533458323,0.005681833467430864,0.03636764417087479,-0.0014255169912211724,0.0007620875983876871,2.700000000000003,3.0900000000000034,0.39000000000000057,3.0900000000000034,4.8342857142857145,235132096.0,57.942772017343806,71.02152008970714,69.03181324362617,-2.1768
2020-12-03,70.0,70.0,68.01,68.92,70.6,36993856,2548807896.34,-2.3796,1.2767,-0.086,1.7583,-4.1839,-7.7455,-1.6799999999999926,-0.789999999999992,0.04999999999999716,-0.7000000000000028,0.9099999999999966,-0.16666666666666669,-0.43333333333333335,0.42582417582417587,69.148,68.89857142857143,69.696,68.0775,61.55266666666667,68.81306271169261,68.81306271169261,68.81306271169261,68.81306271169261,68.81306271169261,56.441717791411044,3.554245747987295,4.022420845618278,-9.455263900649213,-0.008534902449837331,-0.015548830389630147,0.0,-0.0288404888618116,0.0008339873333781011,1.9899999999999949,0.5999999999999943,2.589999999999989,2.589999999999989,4.803809523809523,198138240.0,58.07305024019157,71.42432510408516,68.0623415625815,1.475
2020-12-04,68.46,72.0,68.11,70.97,68.92,46648858,3298839968.45,2.9745,-2.3796,1.2767,-3.0928,-2.7866,6.4402,2.049999999999997,0.37000000000000455,4.230000000000004,3.289999999999992,-1.4200000000000017,0.0,-0.4,0.4285714285714286,69.994,69.36857142857143,69.554,68.58099999999999,62.321666666666665,69.17255225974384,69.17255225974384,69.17255225974384,69.17255225974384,69.17255225974384,47.92176039119804,3.4798756687058585,3.913911810235794,50.5739657786438,-0.006696778557689676,0.0360076194348523,0.05041648591401621,-0.0051255878488122054,0.0007143851785299014,3.8900000000000006,3.0799999999999983,0.8100000000000023,3.8900000000000006,4.779047619047619,244787098.0,58.263213360073586,72.34840388902147,67.97826277764518,-0.8486
2020-12-07,70.68,73.5,70.35,71.67,70.97,41652108,3001513790.54,0.9863,2.9745,-2.3796,4.54,1.7583,0.373,0.7000000000000028,2.75,1.9000000000000057,2.799999999999997,-0.9899999999999949,-0.6666666666666666,-0.3,0.4368131868131868,70.374,69.76857142857143,69.45500000000001,69.0815,63.16433333333334,69.58879354978654,69.58879354978654,69.58879354978654,69.58879354978654,69.58879354978654,45.62363238512036,3.4377922656368725,3.81868790131601,107.32833237160972,-0.004094605085395816,0.013909602554332092,0.03912275876729533,-0.004679863891097769,0.0009490944469975893,3.1500000000000057,2.530000000000001,0.6200000000000045,3.1500000000000057,4.547142857142857,286439206.0,58.43742597025187,73.37832118559163,67.66167881440836,6.33
2020-12-08,71.59,72.75,70.8,71.83,71.67,31853264,2281017614.12,0.2232,0.9863,2.9745,-0.086,-3.0928,-4.1839,0.1599999999999966,0.8599999999999994,2.1200000000000045,5.090000000000003,2.2099999999999937,-0.5,-0.26666666666666666,0.43956043956043955,70.798,70.49571428571429,69.676,69.4885,64.07433333333333,69.96232795815546,69.96232795815546,69.96232795815546,69.96232795815546,69.96232795815546,46.52956298200514,3.3784073513732835,3.7306317913274647,69.45642795513461,-0.001116850597734213,0.0033468166786165834,0.0160735066435081,-0.011096398708419681,0.00067158478793822,1.9500000000000028,1.0799999999999983,0.8700000000000045,1.9500000000000028,4.351428571428571,318292470.0,58.56920352803052,72.40476773008332,70.57523226991667,9.0612
